"matching","logodds","df","set"
"nonmatch",-9.60080745731613,3,"K-9-9-01"
"nonmatch",-9.1667951077418,3,"K-9-9-01"
"nonmatch",-10.8021958397742,3,"K-9-9-01"
"nonmatch",-9.82880948872954,3,"K-9-9-01"
"match",3.64953132439653,3,"K-9-9-01"
"nonmatch",-11.5261209358706,3,"K-9-9-01"
"nonmatch",-10.3957567586842,3,"K-9-9-01"
"nonmatch",-6.62611121796264,3,"K-9-9-01"
"nonmatch",-8.64878288823821,3,"K-9-9-01"
"nonmatch",-8.35419367817983,3,"K-9-9-01"
"nonmatch",-10.7176966678444,3,"K-9-9-01"
"nonmatch",-10.4694062896617,3,"K-9-9-01"
"nonmatch",-11.6400950890844,3,"K-9-9-01"
"nonmatch",-9.2459506708731,3,"K-9-9-01"
"nonmatch",-6.66783680421,3,"K-9-9-01"
"nonmatch",-10.9591684307594,3,"K-9-9-01"
"nonmatch",-6.71904003170196,3,"K-9-9-01"
"nonmatch",-9.28426745191606,3,"K-9-9-01"
"nonmatch",-12.5238455885977,3,"K-9-9-01"
"nonmatch",-11.0686671004242,3,"K-9-9-01"
"nonmatch",-11.4329240564392,3,"K-9-9-01"
"match",7.09416188135882,3,"K-9-9-01"
"nonmatch",-11.0649827275199,3,"K-9-9-01"
"nonmatch",-9.03617971742606,3,"K-9-9-01"
"nonmatch",-11.280211164482,3,"K-9-9-01"
"nonmatch",-10.9068861555221,3,"K-9-9-01"
"nonmatch",-10.666056260645,3,"K-9-9-01"
"nonmatch",-10.597965308995,3,"K-9-9-01"
"nonmatch",-10.8623300194089,3,"K-9-9-01"
"nonmatch",-10.5136944923468,3,"K-9-9-01"
"nonmatch",-10.69739455903,3,"K-9-9-01"
"nonmatch",-10.1736709506205,3,"K-9-9-01"
"nonmatch",-10.3987579133025,3,"K-9-9-01"
"nonmatch",-10.3410760425546,3,"K-9-9-01"
"nonmatch",-11.6981890813885,3,"K-9-9-01"
"nonmatch",-10.8695719479697,3,"K-9-9-01"
"nonmatch",-11.0877908169333,3,"K-9-9-01"
"nonmatch",-10.8914051061682,3,"K-9-9-01"
"match",12.2418267715894,3,"Rot 1"
"nonmatch",-9.87895671099414,3,"Rot 1"
