,"5-10","10-20","knife","img","match","set"
"67",0.809857554121994,0.746422445310094,"S18:S18",4,"match","S-10-9-10-01"
"68",0.8167500830093,0.731045212135639,"S18:S18",5,"match","S-10-9-10-01"
"69",0.879665409772217,0.741973736829085,"S18:S18",6,"match","S-10-9-10-01"
"70",0.961798505491696,0.916495828478142,"S18:S18",7,"match","S-10-9-10-01"
"71",0.952504481844235,0.917724091381773,"S18:S18",8,"match","S-10-9-10-01"
"72",0.962265847264215,0.912392846671095,"S18:S18",9,"match","S-10-9-10-01"
"73",0.960850765334002,0.85847006618711,"S19:S19",1,"match","S-10-9-10-01"
"74",0.948271537021001,0.890391070858413,"S19:S19",2,"match","S-10-9-10-01"
"75",0.951897672357569,0.876850685993675,"S19:S19",3,"match","S-10-9-10-01"
"76",0.951343233781102,0.866351514103714,"S19:S19",4,"match","S-10-9-10-01"
"77",0.971275075080406,0.900291552167379,"S19:S19",5,"match","S-10-9-10-01"
"78",0.972649985104548,0.849151370230579,"S19:S19",6,"match","S-10-9-10-01"
"79",0.976957231897309,0.909930240623675,"S19:S19",7,"match","S-10-9-10-01"
"80",0.975857433952548,0.909282751890684,"S19:S19",8,"match","S-10-9-10-01"
"81",0.980590926355063,0.901892445002123,"S19:S19",9,"match","S-10-9-10-01"
"82",0.809380967266435,0.812868037233699,"S20:S20",1,"match","S-10-9-10-01"
"83",0.914908910041213,0.818658226048462,"S20:S20",2,"match","S-10-9-10-01"
"84",0.925533351610784,0.810802341664793,"S20:S20",3,"match","S-10-9-10-01"
"85",0.938440870708389,0.83587577819667,"S20:S20",4,"match","S-10-9-10-01"
"86",0.947182073700559,0.877269184961476,"S20:S20",5,"match","S-10-9-10-01"
"87",0.925750921248025,0.89297067867038,"S20:S20",6,"match","S-10-9-10-01"
"88",0.964493866241851,0.933099299996673,"S20:S20",7,"match","S-10-9-10-01"
"89",0.965142750532558,0.948521732654924,"S20:S20",8,"match","S-10-9-10-01"
"90",0.981350394318161,0.961661851805654,"S20:S20",9,"match","S-10-9-10-01"
"91",0.452304012271956,0.457625757142432,"S11:S12",1,"nonmatch","S-10-9-10-01"
"92",0.014533960466466,0.27381167002414,"S11:S12",2,"nonmatch","S-10-9-10-01"
"93",0.003358380090927,0.419981499735255,"S11:S12",3,"nonmatch","S-10-9-10-01"
"94",0.24072297832261,0.473377548215346,"S11:S12",4,"nonmatch","S-10-9-10-01"
"95",0.061627800329495,0.284750607773838,"S11:S12",5,"nonmatch","S-10-9-10-01"
"96",0.385969849860205,0.286077944200997,"S11:S12",6,"nonmatch","S-10-9-10-01"
"97",0.441590846071615,0.186430232554347,"S11:S12",7,"nonmatch","S-10-9-10-01"
"98",0.347223058674019,0.188012658567061,"S11:S12",8,"nonmatch","S-10-9-10-01"
"99",0.452888602627406,0.301853287695323,"S11:S12",9,"nonmatch","S-10-9-10-01"
"100",0.433688402001877,0.260496176227107,"S11:S13",1,"nonmatch","S-10-9-10-01"
