"matching","logodds","df","set"
"nonmatch",-11.6833465167827,3,"K-9-9-01"
"nonmatch",-10.6512478830178,3,"K-9-9-01"
"nonmatch",-13.2241880463319,3,"K-9-9-01"
"nonmatch",-11.7209574425909,3,"K-9-9-01"
"match",6.96574587211398,3,"K-9-9-01"
"nonmatch",-12.6432816004612,3,"K-9-9-01"
"nonmatch",-10.908988880838,3,"K-9-9-01"
"nonmatch",-7.12763587605959,3,"K-9-9-01"
"nonmatch",-10.6875697024115,3,"K-9-9-01"
"nonmatch",-8.89485692770202,3,"K-9-9-01"
"nonmatch",-13.3422759172422,3,"K-9-9-01"
"nonmatch",-12.6625951061771,3,"K-9-9-01"
"nonmatch",-13.1972579093712,3,"K-9-9-01"
"nonmatch",-10.8080570032421,3,"K-9-9-01"
"nonmatch",-7.89088588088146,3,"K-9-9-01"
"nonmatch",-12.6960125115744,3,"K-9-9-01"
"nonmatch",-8.05259219569366,3,"K-9-9-01"
"nonmatch",-11.4796304457116,3,"K-9-9-01"
"nonmatch",-14.0409671483597,3,"K-9-9-01"
"nonmatch",-13.4284199470713,3,"K-9-9-01"
"nonmatch",-12.8206496352782,3,"K-9-9-01"
"match",9.89456624193857,3,"K-9-9-01"
"nonmatch",-13.4931772989139,3,"K-9-9-01"
"nonmatch",-9.31939562286073,3,"K-9-9-01"
"nonmatch",-9.44100544763331,3,"K-9-9-01"
"nonmatch",-11.8884082233257,3,"K-9-9-01"
"nonmatch",-11.1356600564152,3,"K-9-9-01"
"nonmatch",-11.9834483780519,3,"K-9-9-01"
"nonmatch",-11.4816520921868,3,"K-9-9-01"
"nonmatch",-12.7572997905333,3,"K-9-9-01"
"nonmatch",-13.0371984942268,3,"K-9-9-01"
"nonmatch",-10.0613059601744,3,"K-9-9-01"
"nonmatch",-8.88540960543141,3,"K-9-9-01"
"nonmatch",-11.9125621443134,3,"K-9-9-01"
"nonmatch",-12.2344202706821,3,"K-9-9-01"
"nonmatch",-12.1330794244568,3,"K-9-9-01"
"nonmatch",-12.6712504188837,3,"K-9-9-01"
"nonmatch",-12.4887811601097,3,"K-9-9-01"
"match",11.7930670771593,3,"S-10-09-02-01"
"nonmatch",-9.67201676177584,3,"S-10-09-02-01"
"nonmatch",-8.15053995863406,3,"S-10-09-02-01"
"nonmatch",-9.4994023822441,3,"S-10-09-02-01"
"nonmatch",-10.1375848936874,3,"S-10-09-02-01"
"nonmatch",-11.2882787654663,3,"S-10-09-02-01"
"nonmatch",-10.8380741082118,3,"S-10-09-02-01"
"nonmatch",-9.23091515292083,3,"S-10-09-02-01"
"nonmatch",-10.2419190497244,3,"S-10-09-02-01"
"nonmatch",-7.01847844835054,3,"S-10-09-02-01"
"nonmatch",-11.2005204741145,3,"S-10-09-02-01"
"nonmatch",-6.70450521871664,3,"S-10-09-02-01"
"nonmatch",-7.30021360664713,3,"S-10-09-02-01"
"nonmatch",-10.5428459374862,3,"S-10-09-02-01"
"nonmatch",-10.7802944676449,3,"S-10-09-02-01"
"nonmatch",-10.4677601163596,3,"S-10-09-02-01"
"nonmatch",-7.77191439873765,3,"S-10-09-02-01"
"nonmatch",-10.862482239819,3,"S-10-09-02-01"
"nonmatch",-5.99772696537762,3,"S-10-09-02-01"
"match",10.5445049975806,3,"S-10-09-02-01"
"nonmatch",-9.33483976813641,3,"S-10-09-02-01"
"nonmatch",-11.0566469774674,3,"S-10-09-02-01"
"nonmatch",-8.46882558260024,3,"S-10-09-02-01"
"nonmatch",-10.5086066928791,3,"S-10-09-02-01"
"nonmatch",-9.46724423487655,3,"S-10-09-02-01"
"nonmatch",-10.3982317203322,3,"S-10-09-02-01"
"nonmatch",-11.63408441565,3,"S-10-09-02-01"
"nonmatch",-8.3120228043873,3,"S-10-09-02-01"
"nonmatch",-9.49615123578333,3,"S-10-09-02-01"
"nonmatch",-7.15895419196822,3,"S-10-09-02-01"
"nonmatch",-10.1763175082723,3,"S-10-09-02-01"
"nonmatch",-11.636593447566,3,"S-10-09-02-01"
"nonmatch",-8.69602822078569,3,"S-10-09-02-01"
"nonmatch",-11.335194554085,3,"S-10-09-02-01"
"nonmatch",-9.20179000282013,3,"S-10-09-02-01"
"nonmatch",-10.6642956149414,3,"S-10-09-02-01"
"nonmatch",-9.40561255570002,3,"S-10-09-02-01"
"nonmatch",-6.31359233360761,3,"S-10-09-02-01"
"match",8.83547106831922,3,"S-10-09-02-01"
"nonmatch",-7.88612274353023,3,"S-10-09-02-01"
"nonmatch",-8.12483120427654,3,"S-10-09-02-01"
"nonmatch",-6.4472718605245,3,"S-10-09-02-01"
"nonmatch",-10.4016176784065,3,"S-10-09-02-01"
"nonmatch",-3.85333294032891,3,"S-10-09-02-01"
"nonmatch",-9.12730305551276,3,"S-10-09-02-01"
"nonmatch",-13.6592345434522,3,"S-10-09-02-01"
"nonmatch",-8.20165116161451,3,"S-10-09-02-01"
"nonmatch",-8.26416681845181,3,"S-10-09-02-01"
"nonmatch",-7.09006055420307,3,"S-10-09-02-01"
"nonmatch",-7.43351015510451,3,"S-10-09-02-01"
"nonmatch",-8.52717282089427,3,"S-10-09-02-01"
"nonmatch",-12.5946131251723,3,"S-10-09-02-01"
"nonmatch",-9.54992395654173,3,"S-10-09-02-01"
"nonmatch",-9.7968904115785,3,"S-10-09-02-01"
"nonmatch",-8.90116906262188,3,"S-10-09-02-01"
"nonmatch",-8.58266730343237,3,"S-10-09-02-01"
"nonmatch",-9.50062392434423,3,"S-10-09-02-01"
"match",9.70250505819136,3,"S-10-09-02-01"
"nonmatch",-9.83161551659766,3,"S-10-09-02-01"
"nonmatch",-11.0013907947069,3,"S-10-09-02-01"
"nonmatch",-3.84446339893967,3,"S-10-09-02-01"
"nonmatch",-7.85689548237013,3,"S-10-09-02-01"
"nonmatch",-12.1124608761541,3,"S-10-09-02-01"
"nonmatch",-8.61987315090077,3,"S-10-09-02-01"
"nonmatch",-4.37135040226402,3,"S-10-09-02-01"
"nonmatch",-11.4763129665794,3,"S-10-09-02-01"
"nonmatch",-6.60221368912706,3,"S-10-09-02-01"
"nonmatch",-9.79715952380407,3,"S-10-09-02-01"
"nonmatch",-11.0199688976829,3,"S-10-09-02-01"
"nonmatch",-7.51497664679339,3,"S-10-09-02-01"
"nonmatch",-1.3288495383165,3,"S-10-09-02-01"
"nonmatch",-10.9384447597517,3,"S-10-09-02-01"
"nonmatch",-9.44798134682359,3,"S-10-09-02-01"
"nonmatch",-6.11145436082365,3,"S-10-09-02-01"
"nonmatch",-11.3172616734542,3,"S-10-09-02-01"
"nonmatch",-7.55818061881598,3,"S-10-09-02-01"
"match",11.3077725448605,3,"S-10-09-02-01"
"nonmatch",-10.0412491358002,3,"S-10-09-02-01"
"nonmatch",-10.1848999536776,3,"S-10-09-02-01"
"nonmatch",-9.07444647963656,3,"S-10-09-02-01"
"nonmatch",-4.07820632551862,3,"S-10-09-02-01"
"nonmatch",-10.0370072275267,3,"S-10-09-02-01"
"nonmatch",-8.36830062371315,3,"S-10-09-02-01"
"nonmatch",-12.3697048072719,3,"S-10-09-02-01"
"nonmatch",-1.21208274046447,3,"S-10-09-02-01"
"nonmatch",-12.3385203266448,3,"S-10-09-02-01"
"nonmatch",-9.73338820184989,3,"S-10-09-02-01"
"nonmatch",-10.2080432727085,3,"S-10-09-02-01"
"nonmatch",-7.73765381776833,3,"S-10-09-02-01"
"nonmatch",-9.85950732821123,3,"S-10-09-02-01"
"nonmatch",-11.4302772598294,3,"S-10-09-02-01"
"nonmatch",-11.2838264404028,3,"S-10-09-02-01"
"nonmatch",-9.32660148940074,3,"S-10-09-02-01"
"nonmatch",-8.58881639812871,3,"S-10-09-02-01"
"nonmatch",-8.35853453273578,3,"S-10-09-02-01"
"match",12.5327259437354,3,"S-10-09-02-01"
"nonmatch",-11.3099572252558,3,"S-10-09-02-01"
"nonmatch",-10.5583550131589,3,"S-10-09-02-01"
"nonmatch",-13.2389364364548,3,"S-10-09-02-01"
"nonmatch",-11.2623115153968,3,"S-10-09-02-01"
"nonmatch",-12.2559064756123,3,"S-10-09-02-01"
"nonmatch",-10.7273744221853,3,"S-10-09-02-01"
"nonmatch",-11.2888862058335,3,"S-10-09-02-01"
"nonmatch",-9.55366611465315,3,"S-10-09-02-01"
"nonmatch",-10.3386950593016,3,"S-10-09-02-01"
"nonmatch",-11.8690423438408,3,"S-10-09-02-01"
"nonmatch",-8.12918037398679,3,"S-10-09-02-01"
"nonmatch",-11.1324349257461,3,"S-10-09-02-01"
"nonmatch",-11.4175438989284,3,"S-10-09-02-01"
"nonmatch",-11.1254463825113,3,"S-10-09-02-01"
"nonmatch",-11.6191641252545,3,"S-10-09-02-01"
"nonmatch",-11.765219831758,3,"S-10-09-02-01"
"nonmatch",-11.2934336586691,3,"S-10-09-02-01"
"nonmatch",-12.4200682810646,3,"S-10-09-02-01"
"match",11.9148290306065,3,"S-10-09-02-01"
