,5-10,10-20,knife,img,match,set
1,0.976383472910182,0.86155498265732,S01:S01,1,match,S-10-09-02-01
2,0.951076892354637,0.864854790937798,S01:S01,2,match,S-10-09-02-01
3,0.959078122208504,0.839001675319813,S01:S01,3,match,S-10-09-02-01
4,0.924642656947565,0.766715479095138,S01:S01,4,match,S-10-09-02-01
5,0.923913118686903,0.719166619173744,S01:S01,5,match,S-10-09-02-01
6,0.900729560632798,0.740197698462501,S01:S01,6,match,S-10-09-02-01
7,0.838835240285942,0.751647865950195,S01:S01,7,match,S-10-09-02-01
8,0.936035870195581,0.684392151368045,S01:S01,8,match,S-10-09-02-01
9,0.953131734517546,0.685327907734695,S01:S01,9,match,S-10-09-02-01
10,0.934537453192478,0.724227398478523,S02:S02,1,match,S-10-09-02-01
11,0.929824522905802,0.773185290893611,S02:S02,2,match,S-10-09-02-01
12,0.950172908224286,0.86028848216086,S02:S02,3,match,S-10-09-02-01
13,0.946412613379374,0.8636659112956,S02:S02,4,match,S-10-09-02-01
14,0.987309355958062,0.875746994070163,S02:S02,5,match,S-10-09-02-01
15,0.980370191052425,0.931162061426687,S02:S02,6,match,S-10-09-02-01
16,0.96837221174606,0.931753316467744,S02:S02,7,match,S-10-09-02-01
17,0.905259266566718,0.801820874684468,S02:S02,8,match,S-10-09-02-01
18,0.886453146511565,0.722319335352685,S02:S02,9,match,S-10-09-02-01
19,0.826890514307494,0.694187819585068,S03:S03,1,match,S-10-09-02-01
20,0.853743978893363,0.751978068635343,S03:S03,2,match,S-10-09-02-01
21,0.946824466666119,0.773962167188416,S03:S03,3,match,S-10-09-02-01
22,0.968149784743057,0.829979797504643,S03:S03,4,match,S-10-09-02-01
23,0.785862679253987,0.481746595481733,S03:S03,5,match,S-10-09-02-01
24,0.814312567398549,0.493911490414802,S03:S03,6,match,S-10-09-02-01
25,0.794140269336472,0.557150847151928,S03:S03,7,match,S-10-09-02-01
26,0.89493379784206,0.578302980751255,S03:S03,8,match,S-10-09-02-01
27,0.807609420521088,0.538417821355639,S03:S03,9,match,S-10-09-02-01
28,0.81551249907669,0.689392118945813,S04:S04,1,match,S-10-09-02-01
29,0.764805234000957,0.603359600123835,S04:S04,2,match,S-10-09-02-01
30,0.855606461955045,0.587881488605794,S04:S04,3,match,S-10-09-02-01
31,0.870859502253132,0.560243716688838,S04:S04,4,match,S-10-09-02-01
32,0.756113701636511,0.615623920292688,S04:S04,5,match,S-10-09-02-01
33,0.764324106771998,0.576433642142803,S04:S04,6,match,S-10-09-02-01
34,0.726771749548497,0.594574783454177,S04:S04,7,match,S-10-09-02-01
35,0.85345154596677,0.578244378734089,S04:S04,8,match,S-10-09-02-01
36,0.882724258770024,0.651184181483702,S04:S04,9,match,S-10-09-02-01
37,0.931058832463069,0.730400190449661,S05:S05,1,match,S-10-09-02-01
38,0.796152008806765,0.666966349119518,S05:S05,2,match,S-10-09-02-01
39,0.781899715873103,0.678715053296299,S05:S05,3,match,S-10-09-02-01
40,0.76641878346843,0.667176499458036,S05:S05,4,match,S-10-09-02-01
41,0.728480592329677,0.678102131702826,S05:S05,5,match,S-10-09-02-01
42,0.812640653427648,0.768442270533897,S05:S05,6,match,S-10-09-02-01
43,0.798239985320833,0.753855282416781,S05:S05,7,match,S-10-09-02-01
44,0.77964904797432,0.652389896071765,S05:S05,8,match,S-10-09-02-01
45,0.739630025808346,0.585640978021684,S05:S05,9,match,S-10-09-02-01
46,0.814452479363577,0.729148113295031,S06:S06,1,match,S-10-09-02-01
47,0.78035444085095,0.745134289844834,S06:S06,2,match,S-10-09-02-01
48,0.787902078225436,0.705837207251721,S06:S06,3,match,S-10-09-02-01
