,5-10,10-20,knife,img,match,set
1,0.914404052013026,0.852986961946346,E10:E10,1,match,3
2,0.91070353925558,0.789156739480728,E10:E10,2,match,3
3,0.866990816861465,0.768124810581591,E10:E10,3,match,3
4,0.859995882354338,0.769065219354947,E10:E10,4,match,3
5,0.892486363169073,0.852249267333414,E10:E10,5,match,3
6,0.882659306189946,0.850009866895394,E10:E10,6,match,3
7,0.937756096584942,0.804957134543131,E10:E10,7,match,3
8,0.872262309709404,0.766884694809064,E10:E10,8,match,3
9,0.884033791816207,0.851226064988854,E10:E10,9,match,3
10,0.792008237494855,0.696660611950226,T10:T10,1,match,3
11,0.873018061428717,0.631128387592809,T10:T10,2,match,3
12,0.762312454771744,0.589644527918611,T10:T10,3,match,3
13,0.78109570206125,0.633572742174293,T10:T10,4,match,3
14,0.717751618580145,0.529336995384908,T10:T10,5,match,3
15,0.761646493083095,0.628457996648922,T10:T10,6,match,3
16,0.698966061507814,0.64034004444846,T10:T10,7,match,3
17,0.738223798684076,0.592030287532466,T10:T10,8,match,3
18,0.73284043060075,0.596077896131372,T10:T10,9,match,3
19,0.937141303488707,0.845351370613059,E48:E48,1,match,3
20,0.925952409803394,0.866735856691783,E48:E48,2,match,3
21,0.9452862067085,0.913724051958684,E48:E48,3,match,3
22,0.96249747351188,0.885809982046059,E48:E48,4,match,3
23,0.91486710601285,0.886707072203026,E48:E48,5,match,3
24,0.913407024053182,0.88581237520121,E48:E48,6,match,3
25,0.884144441637454,0.809611975210683,E48:E48,7,match,3
26,0.907823648072586,0.798482604769539,E48:E48,8,match,3
27,0.898709158106291,0.813920615399131,E48:E48,9,match,3
28,0.816238174171639,0.801653683224549,E39:E39,1,match,3
29,0.490985670963464,0.713818817138343,E39:E39,2,match,3
30,0.581414487358509,0.601825735878637,E39:E39,3,match,3
31,0.827839888371831,0.440134795695307,E39:E39,4,match,3
32,0.696812283979481,0.556586104429839,E39:E39,5,match,3
33,0.844835411003967,0.675368778926269,E39:E39,6,match,3
34,0.866793193029429,0.67342783541797,E39:E39,7,match,3
35,0.730816907619408,0.671850843761596,E39:E39,8,match,3
36,0.897526100298472,0.617960549689756,E39:E39,9,match,3
37,0.988862606245274,0.836618803193773,E36:E36,1,match,3
38,0.984907605130688,0.897894601375966,E36:E36,2,match,3
39,0.984909549116717,0.943129336411934,E36:E36,3,match,3
40,0.985450987001416,0.946031752638702,E36:E36,4,match,3
41,0.975231882720314,0.947485103417467,E36:E36,5,match,3
42,0.976984229928361,0.94043348875352,E36:E36,6,match,3
43,0.993096740519118,0.945556531536111,E36:E36,7,match,3
44,0.986922447383078,0.941565503621451,E36:E36,8,match,3
45,0.932877087436149,0.860941592413766,E36:E36,9,match,3
46,0.900154430869938,0.804408855346828,E34:E34,1,match,3
47,0.883555382639701,0.789356221503615,E34:E34,2,match,3
48,0.880172959236173,0.852364516982096,E34:E34,3,match,3
49,0.916297047109523,0.889512535391389,E34:E34,4,match,3
50,0.880364696300805,0.901047348671283,E34:E34,5,match,3
51,0.910935401775761,0.902866278606321,E34:E34,6,match,3
52,0.875907085517044,0.83982152587192,E34:E34,7,match,3
53,0.917756665291413,0.745678022013206,E34:E34,8,match,3
54,0.914009737629657,0.693074847073336,E34:E34,9,match,3
55,0.926688799944191,0.756630675779101,E28:E28,1,match,3
56,0.886106876296233,0.741334985950512,E28:E28,2,match,3
57,0.879245377173544,0.794188757489255,E28:E28,3,match,3
58,0.765335870051326,0.702611063538368,E28:E28,4,match,3
59,0.773060651142179,0.675847383814449,E28:E28,5,match,3
60,0.828871750001347,0.741238497121551,E28:E28,6,match,3
61,0.930275000966452,0.693403174789655,E28:E28,7,match,3
62,0.885136823096757,0.650680236437849,E28:E28,8,match,3
63,0.882844680696113,0.476245229712017,E28:E28,9,match,3
64,0.941252083279863,0.839268732223136,E27:E27,1,match,3
65,0.916121363365999,0.717707425424458,E27:E27,2,match,3
66,0.936812932864506,0.677372908948808,E27:E27,3,match,3
67,0.964645951034207,0.690869220589285,E27:E27,4,match,3
68,0.934185437432613,0.764530972235631,E27:E27,5,match,3
69,0.812248385447901,0.697812084588312,E27:E27,6,match,3
70,0.815508925786042,0.763733724064325,E27:E27,7,match,3
71,0.882191403218744,0.784016850550131,E27:E27,8,match,3
72,0.924470141259452,0.772233474580681,E27:E27,9,match,3
73,0.765148357993606,0.790387080779457,E24:E24,1,match,3
74,0.87027077740878,0.808106322073992,E24:E24,2,match,3
75,0.939529364869049,0.834680182561888,E24:E24,3,match,3
76,0.939364507028187,0.778719807981926,E24:E24,4,match,3
77,0.889544079027135,0.745776502168275,E24:E24,5,match,3
78,0.797781222387717,0.702506326732216,E24:E24,6,match,3
79,0.783221073931604,0.745092843693823,E24:E24,7,match,3
80,0.859088247150468,0.769285246521156,E24:E24,8,match,3
81,0.918591216121017,0.777031763675015,E24:E24,9,match,3
82,0.092580730310296,0.034243582592601,E10:T10,1,nonmatch,3
83,0.023193514297793,0.119434049885648,E10:T10,2,nonmatch,3
84,0.326512535212257,0.143928549101814,E10:T10,3,nonmatch,3
85,0.366773827132152,0.125226106087772,E10:T10,4,nonmatch,3
86,0.008905713184129,0.126307671366268,E10:T10,5,nonmatch,3
87,0.150285141548252,0.281484789304767,E10:T10,6,nonmatch,3
88,0.326215215336237,0.382903915467745,E10:T10,7,nonmatch,3
89,0.490460545607733,0.310407586645054,E10:T10,8,nonmatch,3
90,0.3895587930048,0.423747373566656,E10:T10,9,nonmatch,3
91,-0.142002645065861,0.00356646293429,E10:E48,1,nonmatch,3
92,-0.180190452406117,0.034623043764691,E10:E48,2,nonmatch,3
93,-0.266717794538496,0.057143696568826,E10:E48,3,nonmatch,3
94,0.077181771937335,0.218967875868177,E10:E48,4,nonmatch,3
95,-0.075048794251793,0.206601742328728,E10:E48,5,nonmatch,3
96,0.071828081345246,0.22908645937785,E10:E48,6,nonmatch,3
97,0.439147244600531,0.360359218440526,E10:E48,7,nonmatch,3
98,0.300841694524216,0.294846164212598,E10:E48,8,nonmatch,3
99,0.489562938461002,0.387265153301943,E10:E48,9,nonmatch,3
100,0.506979516012194,0.212477563472097,E10:E39,1,nonmatch,3
101,-0.034740528022278,0.174943484020815,E10:E39,2,nonmatch,3
102,0.030222868076609,0.110099481733434,E10:E39,3,nonmatch,3
103,0.380915336236245,0.118770730187242,E10:E39,4,nonmatch,3
104,0.394149028394158,0.24474349637231,E10:E39,5,nonmatch,3
105,0.301762351232205,0.375155850866562,E10:E39,6,nonmatch,3
106,0.341330035954947,0.230747350608496,E10:E39,7,nonmatch,3
107,0.020003839710083,0.311904593963598,E10:E39,8,nonmatch,3
