"","model","k","classes","match","df","logodds","matching"
"1","1","2",31.8712076383467,"match",30,13.8414896089267,"match"
"2","1","2",37.0860917949457,"match",30,16.1062850219024,"match"
"3","1","2",28.0065952291733,"match",30,12.1631097649279,"match"
"4","1","2",31.895775766143,"match",30,13.8521594112594,"match"
"5","1","2",23.7662047134901,"match",30,10.3215315628518,"match"
"6","1","2",42.0965368703568,"match",30,18.2822936700328,"match"
"7","1","2",36.5256089329354,"match",30,15.86287040773,"match"
"8","1","2",24.7446071907663,"match",30,10.7464463598133,"match"
"9","1","2",42.894072240782,"match",30,18.6286588805311,"match"
"10","1","2",-12.2168489102546,"nonmatch",30,-5.30571006796935,"nonmatch"
"11","1","2",-12.6724017502884,"nonmatch",30,-5.50355415261138,"nonmatch"
"12","1","2",-13.3617767152639,"nonmatch",30,-5.80294589586248,"nonmatch"
"13","1","2",-11.4041609732741,"nonmatch",30,-4.95276418142934,"nonmatch"
"14","1","2",-14.3651356883359,"nonmatch",30,-6.23869916123575,"nonmatch"
"15","1","2",-11.2840740217775,"nonmatch",30,-4.9006110810458,"nonmatch"
"16","1","2",-12.1089683326868,"nonmatch",30,-5.25885812842711,"nonmatch"
"17","1","2",-14.2916308956361,"nonmatch",30,-6.2067764353728,"nonmatch"
"18","1","2",-13.4302400093395,"nonmatch",30,-5.83267912669241,"nonmatch"
"19","1","2",-12.5749388307402,"nonmatch",30,-5.46122654446139,"nonmatch"
"20","1","2",-9.7389953822702,"nonmatch",30,-4.2295919538012,"nonmatch"
"21","1","2",-10.9370444285099,"nonmatch",30,-4.74989804363257,"nonmatch"
"22","1","2",-10.8438300664228,"nonmatch",30,-4.70941556054398,"nonmatch"
"23","1","2",-14.0294745054588,"nonmatch",30,-6.0929233617231,"nonmatch"
"24","1","2",-9.92938184511051,"nonmatch",30,-4.31227574404182,"nonmatch"
"25","1","2",-13.3883389509329,"nonmatch",30,-5.81448172824053,"nonmatch"
"26","1","2",-11.2301045062988,"nonmatch",30,-4.87717241828242,"nonmatch"
"27","1","2",-13.8559307009024,"nonmatch",30,-6.01755424503577,"nonmatch"
"28","1","2",-12.2505472605633,"nonmatch",30,-5.32034507555764,"nonmatch"
"29","1","2",-10.7639256423449,"nonmatch",30,-4.67471351008729,"nonmatch"
"30","1","2",-11.4609490810766,"nonmatch",30,-4.97742694328573,"nonmatch"
"31","1","2",-14.1020681715212,"nonmatch",30,-6.12445039031513,"nonmatch"
"32","1","2",-12.2981307265697,"nonmatch",30,-5.34101031227406,"nonmatch"
"33","1","2",-13.0994230859789,"nonmatch",30,-5.68900716235671,"nonmatch"
"34","1","2",-12.2183391524478,"nonmatch",30,-5.30635727193053,"nonmatch"
"35","1","2",-9.35047633786189,"nonmatch",30,-4.06086027670034,"nonmatch"
"36","1","2",-12.7844904787389,"nonmatch",30,-5.55223366886096,"nonmatch"
"37","1","2",-7.64702062181448,"nonmatch",30,-3.3210588590544,"nonmatch"
"38","1","2",-11.2367255031365,"nonmatch",30,-4.88004788067372,"nonmatch"
"39","1","2",-12.2883304291018,"nonmatch",30,-5.33675409716273,"nonmatch"
"40","1","2",-6.92578943433979,"nonmatch",30,-3.00783213415762,"nonmatch"
"41","1","2",-11.6062585288044,"nonmatch",30,-5.04053403460231,"nonmatch"
"42","1","2",-13.0739067999639,"nonmatch",30,-5.67792558014173,"nonmatch"
"43","1","2",-10.3208514575815,"nonmatch",30,-4.48228883657077,"nonmatch"
"44","1","2",-9.00780454538025,"nonmatch",30,-3.91203980812167,"nonmatch"
"45","1","2",-6.66143284493819,"nonmatch",30,-2.89302352612574,"nonmatch"
"46","1","2",-11.4747901825594,"nonmatch",30,-4.98343805728316,"nonmatch"
"47","1","2",-11.9785618112827,"nonmatch",30,-5.20222329577708,"nonmatch"
"48","1","2",-9.20058214799359,"nonmatch",30,-3.99576205717118,"nonmatch"
"49","1","2",-13.5976990039824,"nonmatch",30,-5.90540564401091,"nonmatch"
"50","1","2",-14.1031603685008,"nonmatch",30,-6.12492472543653,"nonmatch"
"51","1","2",-11.5991263694575,"nonmatch",30,-5.0374365771539,"nonmatch"
"52","1","2",-12.1425889641854,"nonmatch",30,-5.27345938316504,"nonmatch"
"53","1","2",-11.2599548373589,"nonmatch",30,-4.89013625234481,"nonmatch"
"54","1","2",-12.2323217599973,"nonmatch",30,-5.31242984123188,"nonmatch"
"55","1","2",-13.531314083331,"nonmatch",30,-5.87657503929039,"nonmatch"
"56","1","2",-14.0332073405191,"nonmatch",30,-6.09454451139163,"nonmatch"
"57","1","2",-13.3808655971199,"nonmatch",30,-5.81123609191825,"nonmatch"
"58","1","2",-9.91539161689722,"nonmatch",30,-4.30619986512823,"nonmatch"
"59","1","2",-12.3721418528069,"nonmatch",30,-5.37315293599831,"nonmatch"
"60","1","2",-13.4920655689542,"nonmatch",30,-5.85952962607367,"nonmatch"
"61","1","2",-11.7823491870782,"nonmatch",30,-5.11700923580531,"nonmatch"
"62","1","2",-12.5474084816668,"nonmatch",30,-5.44927026577396,"nonmatch"
"63","1","2",-12.8124691464744,"nonmatch",30,-5.5643846498695,"nonmatch"
"64","1","2",-12.4893372266526,"nonmatch",30,-5.4240502401641,"nonmatch"
"65","1","2",-14.7792942909538,"nonmatch",30,-6.41856595698546,"nonmatch"
"66","1","2",-12.7660398864775,"nonmatch",30,-5.54422067845401,"nonmatch"
"67","1","2",-10.5983439145644,"nonmatch",30,-4.60280227940824,"nonmatch"
"68","1","2",-10.4624167410847,"nonmatch",30,-4.5437698580253,"nonmatch"
"69","1","2",-9.63986315300834,"nonmatch",30,-4.18653937365401,"nonmatch"
"70","1","2",-9.00954786325167,"nonmatch",30,-3.91279692145343,"nonmatch"
"71","1","2",-11.7752576755179,"nonmatch",30,-5.11392943146635,"nonmatch"
"72","1","2",-13.8709681640587,"nonmatch",30,-6.02408493230638,"nonmatch"
"73","1","2",-13.2229890442949,"nonmatch",30,-5.74267117620443,"nonmatch"
"74","1","2",-14.2075427638521,"nonmatch",30,-6.17025742374546,"nonmatch"
