"","model","k","classes","match","df","logodds","matching"
"1","1","2",32.9880033441005,"match",30,14.3265078213488,"match"
"2","1","2",38.1456318663268,"match",30,16.5664374282586,"match"
"3","1","2",28.9645176725992,"match",30,12.579130196199,"match"
"4","1","2",33.2920259299845,"match",30,14.4585431527723,"match"
"5","1","2",24.6030630382645,"match",30,10.6849745154361,"match"
"6","1","2",43.1603236852335,"match",30,18.7442904136552,"match"
"7","1","2",37.9554275901216,"match",30,16.4838327606683,"match"
"8","1","2",26.240339559436,"match",30,11.3960346739306,"match"
"9","1","2",44.0740968662529,"match",30,19.1411370638831,"match"
"10","1","2",-10.8741445949583,"nonmatch",30,-4.72258099300846,"nonmatch"
"11","1","2",-11.3734699476845,"nonmatch",30,-4.93943523837185,"nonmatch"
"12","1","2",-12.400769008347,"nonmatch",30,-5.38558555168194,"nonmatch"
"13","1","2",-10.6487075040445,"nonmatch",30,-4.62467490840829,"nonmatch"
"14","1","2",-12.8552714888518,"nonmatch",30,-5.58297347097653,"nonmatch"
"15","1","2",-9.53438332981975,"nonmatch",30,-4.14073006849107,"nonmatch"
"16","1","2",-10.8911262617909,"nonmatch",30,-4.7299560372074,"nonmatch"
"17","1","2",-12.7659898948703,"nonmatch",30,-5.54419896737483,"nonmatch"
"18","1","2",-11.9840309352198,"nonmatch",30,-5.20459850612383,"nonmatch"
"19","1","2",-11.4765123977158,"nonmatch",30,-4.98418600582222,"nonmatch"
"20","1","2",-7.47408717210091,"nonmatch",30,-3.24595481610731,"nonmatch"
"21","1","2",-9.85421227245345,"nonmatch",30,-4.27963001342983,"nonmatch"
"22","1","2",-10.0143022043129,"nonmatch",30,-4.34915618744467,"nonmatch"
"23","1","2",-12.871250144515,"nonmatch",30,-5.58991291295929,"nonmatch"
"24","1","2",-8.84112246984658,"nonmatch",30,-3.83965070248522,"nonmatch"
"25","1","2",-12.505668834772,"nonmatch",30,-5.43114296745093,"nonmatch"
"26","1","2",-9.94504221119098,"nonmatch",30,-4.31907695461516,"nonmatch"
"27","1","2",-12.9300960894026,"nonmatch",30,-5.61546938210638,"nonmatch"
"28","1","2",-10.7352536116612,"nonmatch",30,-4.66226140537642,"nonmatch"
"29","1","2",-9.78202978802196,"nonmatch",30,-4.24828155875117,"nonmatch"
"30","1","2",-10.3616437075773,"nonmatch",30,-4.50000468564838,"nonmatch"
"31","1","2",-12.8315226985601,"nonmatch",30,-5.57265950240095,"nonmatch"
"32","1","2",-11.1043051661005,"nonmatch",30,-4.82253845900724,"nonmatch"
"33","1","2",-12.3577172615868,"nonmatch",30,-5.3668884156277,"nonmatch"
"34","1","2",-11.1707012587245,"nonmatch",30,-4.85137391565378,"nonmatch"
"35","1","2",-7.38307300616155,"nonmatch",30,-3.20642786606482,"nonmatch"
"36","1","2",-11.1414993336413,"nonmatch",30,-4.83869168072918,"nonmatch"
"37","1","2",-6.45720090879612,"nonmatch",30,-2.80432672323082,"nonmatch"
"38","1","2",-9.49952081463453,"nonmatch",30,-4.12558947052086,"nonmatch"
"39","1","2",-11.1632080011775,"nonmatch",30,-4.8481196352496,"nonmatch"
"40","1","2",-5.44557564724394,"nonmatch",30,-2.36498345438477,"nonmatch"
"41","1","2",-10.3352087010677,"nonmatch",30,-4.48852410819218,"nonmatch"
"42","1","2",-11.7126874628884,"nonmatch",30,-5.08675553338983,"nonmatch"
"43","1","2",-9.42523104946595,"nonmatch",30,-4.09332583544626,"nonmatch"
"44","1","2",-7.69924980132421,"nonmatch",30,-3.34374170350981,"nonmatch"
"45","1","2",-5.7367168233696,"nonmatch",30,-2.49142446063097,"nonmatch"
"46","1","2",-10.4231075686715,"nonmatch",30,-4.52669810135805,"nonmatch"
"47","1","2",-10.7258436516756,"nonmatch",30,-4.65817471167975,"nonmatch"
"48","1","2",-8.08624442965541,"nonmatch",30,-3.51181133512025,"nonmatch"
"49","1","2",-12.0157107237527,"nonmatch",30,-5.21835686347151,"nonmatch"
"50","1","2",-12.4063723604617,"nonmatch",30,-5.38801905658552,"nonmatch"
"51","1","2",-10.7738923491492,"nonmatch",30,-4.67904199585515,"nonmatch"
"52","1","2",-10.9363457974179,"nonmatch",30,-4.7495946320044,"nonmatch"
"53","1","2",-9.44027389115918,"nonmatch",30,-4.09985885858577,"nonmatch"
"54","1","2",-10.9798238597779,"nonmatch",30,-4.76847691457122,"nonmatch"
"55","1","2",-12.6388093717344,"nonmatch",30,-5.48896516797134,"nonmatch"
"56","1","2",-12.8613754143853,"nonmatch",30,-5.58562437215369,"nonmatch"
"57","1","2",-12.3468462994188,"nonmatch",30,-5.36216721674518,"nonmatch"
"58","1","2",-8.31404994731448,"nonmatch",30,-3.6107460143867,"nonmatch"
"59","1","2",-11.4184769980486,"nonmatch",30,-4.9589815519917,"nonmatch"
"60","1","2",-12.1052373169511,"nonmatch",30,-5.25723776888119,"nonmatch"
"61","1","2",-10.6945177249706,"nonmatch",30,-4.64457003457124,"nonmatch"
"62","1","2",-11.2998781913527,"nonmatch",30,-4.90747474468339,"nonmatch"
"63","1","2",-11.8862175518786,"nonmatch",30,-5.16211869348244,"nonmatch"
"64","1","2",-11.7055078742446,"nonmatch",30,-5.08363747765949,"nonmatch"
"65","1","2",-13.2919573682229,"nonmatch",30,-5.7726237387125,"nonmatch"
"66","1","2",-11.2539372585078,"nonmatch",30,-4.88752285105533,"nonmatch"
"67","1","2",-9.58573169230426,"nonmatch",30,-4.16303037897286,"nonmatch"
"68","1","2",-9.31252242631975,"nonmatch",30,-4.04437710235095,"nonmatch"
"69","1","2",-7.94310918439845,"nonmatch",30,-3.44964848793929,"nonmatch"
"70","1","2",-8.29203320785546,"nonmatch",30,-3.60118426593015,"nonmatch"
"71","1","2",-10.6702801948834,"nonmatch",30,-4.63404380899942,"nonmatch"
"72","1","2",-12.8037797085993,"nonmatch",30,-5.5606108749495,"nonmatch"
"73","1","2",-11.9176492111799,"nonmatch",30,-5.17576928967406,"nonmatch"
"74","1","2",-12.790221097397,"nonmatch",30,-5.55472244492206,"nonmatch"
"75","1","2",-12.0967257646969,"nonmatch",30,-5.25354124870475,"nonmatch"
"76","1","2",-12.3466363585431,"nonmatch",30,-5.36207604058132,"nonmatch"
"77","1","2",-10.821844997767,"nonmatch",30,-4.69986756654253,"nonmatch"
"78","1","2",-13.4042428558414,"nonmatch",30,-5.82138870638301,"nonmatch"
"79","1","2",-12.5727662714099,"nonmatch",30,-5.46028301393265,"nonmatch"
"80","1","2",-12.6981778577764,"nonmatch",30,-5.51474857385834,"nonmatch"
"81","1","2",-13.1662794903915,"nonmatch",30,-5.71804252987299,"nonmatch"
"82","1","2",35.9056369079655,"match",30,15.5936199783512,"match"
"83","1","2",25.8757582604682,"match",30,11.2376990275838,"match"
"84","1","2",19.4379081380741,"match",30,8.44177624410791,"match"
"85","1","2",12.8683882322465,"match",30,5.58867000025339,"match"
"86","1","2",19.1430095659286,"match",30,8.31370342150397,"match"
"87","1","2",18.2511843938012,"match",30,7.92638867042659,"match"
"88","1","2",26.0212926126918,"match",30,11.3009037936819,"match"
"89","1","2",13.7128975845639,"match",30,5.95543575188053,"match"
"90","1","2",24.7549621809818,"match",30,10.7509434749241,"match"
"91","1","2",42.5643271009692,"match",30,18.4854523858759,"match"
"92","1","2",-11.4347307343853,"nonmatch",30,-4.96604045999306,"nonmatch"
"93","1","2",-5.03903089930452,"nonmatch",30,-2.18842331370793,"nonmatch"
"94","1","2",-12.0544171254231,"nonmatch",30,-5.2351668401313,"nonmatch"
"95","1","2",-10.2333347149657,"nonmatch",30,-4.44428079817859,"nonmatch"
"96","1","2",-13.3532299810965,"nonmatch",30,-5.79923409637529,"nonmatch"
"97","1","2",-11.5280499009763,"nonmatch",30,-5.00656845909934,"nonmatch"
"98","1","2",-10.4485951989911,"nonmatch",30,-4.53776723856265,"nonmatch"
"99","1","2",-9.24281606175403,"nonmatch",30,-4.01410401286652,"nonmatch"
"100","1","2",-10.7708450158353,"nonmatch",30,-4.67771855581239,"nonmatch"
"101","1","2",-12.2727144192305,"nonmatch",30,-5.32997215024629,"nonmatch"
"102","1","2",-11.856847607654,"nonmatch",30,-5.1493634887719,"nonmatch"
"103","1","2",-11.3337019933823,"nonmatch",30,-4.92216423526181,"nonmatch"
"104","1","2",-11.2801805532487,"nonmatch",30,-4.89892016914829,"nonmatch"
"105","1","2",-12.9863125444306,"nonmatch",30,-5.63988387831719,"nonmatch"
"106","1","2",-12.2009122929745,"nonmatch",30,-5.2987888830244,"nonmatch"
"107","1","2",-5.23551173114459,"nonmatch",30,-2.27375385477584,"nonmatch"
"108","1","2",-12.5196139511097,"nonmatch",30,-5.43719925452592,"nonmatch"
"109","1","2",-10.2288964651383,"nonmatch",30,-4.44235329076925,"nonmatch"
"110","1","2",-3.43863112695713,"nonmatch",30,-1.49337852373824,"nonmatch"
"111","1","2",-11.1255245210973,"nonmatch",30,-4.83175390779188,"nonmatch"
"112","1","2",-8.3751426748914,"nonmatch",30,-3.63727824885778,"nonmatch"
"113","1","2",-9.51173317842665,"nonmatch",30,-4.13089323272677,"nonmatch"
"114","1","2",-13.2872756072503,"nonmatch",30,-5.77059047575649,"nonmatch"
