"","model","k","classes","match","df","logodds","matching"
"1","1","2",12.1759701126375,"match",5,5.28795663173739,"match"
"2","1","2",13.4091406277683,"match",5,5.82351578170449,"match"
"3","1","2",9.67290594715797,"match",5,4.20088967681985,"match"
"4","1","2",10.5524239069616,"match",5,4.58285947349738,"match"
"5","1","2",9.08713343916505,"match",5,3.9464919089479,"match"
"6","1","2",14.5760491338928,"match",5,6.33029770680032,"match"
"7","1","2",13.1167418061932,"match",5,5.69652858697942,"match"
"8","1","2",9.28580675248612,"match",5,4.03277463262468,"match"
"9","1","2",13.930648825458,"match",5,6.05000391422841,"match"
"10","1","2",-7.00493169896376,"nonmatch",5,-3.04220318296913,"nonmatch"
"11","1","2",-7.64235044987751,"nonmatch",5,-3.31903062915264,"nonmatch"
"12","1","2",-8.46588561057195,"nonmatch",5,-3.67668740509554,"nonmatch"
"13","1","2",-6.46574959837308,"nonmatch",5,-2.80803937194159,"nonmatch"
"14","1","2",-9.00392925023155,"nonmatch",5,-3.91035678882284,"nonmatch"
"15","1","2",-6.40502937579599,"nonmatch",5,-2.78166891433643,"nonmatch"
"16","1","2",-6.89616843033843,"nonmatch",5,-2.99496789557139,"nonmatch"
"17","1","2",-9.43576343970618,"nonmatch",5,-4.09789999440884,"nonmatch"
"18","1","2",-8.20050966030421,"nonmatch",5,-3.56143609426443,"nonmatch"
"19","1","2",-9.20527512329109,"nonmatch",5,-3.9978001904466,"nonmatch"
"20","1","2",-5.31791930374297,"nonmatch",5,-2.30954300882235,"nonmatch"
"21","1","2",-7.87306168049879,"nonmatch",5,-3.41922724352457,"nonmatch"
"22","1","2",-7.88094397763418,"nonmatch",5,-3.42265048167519,"nonmatch"
"23","1","2",-9.46230651728982,"nonmatch",5,-4.10942750653614,"nonmatch"
"24","1","2",-6.85592115744893,"nonmatch",5,-2.97748872704383,"nonmatch"
"25","1","2",-10.1026346825557,"nonmatch",5,-4.38751849531834,"nonmatch"
"26","1","2",-6.55248026343036,"nonmatch",5,-2.84570602118777,"nonmatch"
"27","1","2",-10.3778878170444,"nonmatch",5,-4.50705941275337,"nonmatch"
"28","1","2",-7.14991410731625,"nonmatch",5,-3.10516824288966,"nonmatch"
"29","1","2",-7.87645460473002,"nonmatch",5,-3.42070077179571,"nonmatch"
"30","1","2",-8.08514346255119,"nonmatch",5,-3.51133319118213,"nonmatch"
"31","1","2",-9.51774849538739,"nonmatch",5,-4.13350565168972,"nonmatch"
"32","1","2",-8.95853099750846,"nonmatch",5,-3.89064057817716,"nonmatch"
"33","1","2",-9.88725657623471,"nonmatch",5,-4.29398097222037,"nonmatch"
"34","1","2",-7.66954346135852,"nonmatch",5,-3.33084040398517,"nonmatch"
"35","1","2",-4.91292556197472,"nonmatch",5,-2.13365646156705,"nonmatch"
"36","1","2",-7.39935180023541,"nonmatch",5,-3.21349765650313,"nonmatch"
"37","1","2",-4.40500916096503,"nonmatch",5,-1.91307117134039,"nonmatch"
"38","1","2",-6.34133856169765,"nonmatch",5,-2.75400834522559,"nonmatch"
"39","1","2",-7.4428558693011,"nonmatch",5,-3.2323912336387,"nonmatch"
"40","1","2",-4.27189174017126,"nonmatch",5,-1.85525901004446,"nonmatch"
"41","1","2",-6.62173944283209,"nonmatch",5,-2.87578490062309,"nonmatch"
"42","1","2",-7.63798913084226,"nonmatch",5,-3.31713653236181,"nonmatch"
"43","1","2",-7.34457490155904,"nonmatch",5,-3.18970835167221,"nonmatch"
"44","1","2",-6.37869635337502,"nonmatch",5,-2.77023262800717,"nonmatch"
"45","1","2",-3.76793320463365,"nonmatch",5,-1.63639259895243,"nonmatch"
"46","1","2",-8.24734550235809,"nonmatch",5,-3.58177664202372,"nonmatch"
"47","1","2",-7.24157330617232,"nonmatch",5,-3.14497532716853,"nonmatch"
"48","1","2",-6.44738169956014,"nonmatch",5,-2.80006229484298,"nonmatch"
"49","1","2",-8.67408647987107,"nonmatch",5,-3.76710789375961,"nonmatch"
"50","1","2",-8.12602885973311,"nonmatch",5,-3.52908949356866,"nonmatch"
"51","1","2",-8.51128128140989,"nonmatch",5,-3.69640249444275,"nonmatch"
"52","1","2",-8.59078695207859,"nonmatch",5,-3.73093136849419,"nonmatch"
