"","model","k","classes","match","df","logodds","matching"
"1","1","2",10.1342762554419,"match",3,4.40126025582155,"match"
"2","1","2",10.8091531784798,"match",3,4.69435557946077,"match"
"3","1","2",7.51321549864041,"match",3,3.26294803240952,"match"
"4","1","2",8.80894272744142,"match",3,3.82567521792959,"match"
"5","1","2",7.02870090774481,"match",3,3.05252601918195,"match"
"6","1","2",11.5391748734546,"match",3,5.01139997325801,"match"
"7","1","2",10.8879266072163,"match",3,4.72856644488161,"match"
"8","1","2",7.68620026177643,"match",3,3.33807436049283,"match"
"9","1","2",10.8610706248183,"match",3,4.71690303992011,"match"
"10","1","2",-5.61200072230184,"nonmatch",3,-2.43726094613275,"nonmatch"
"11","1","2",-6.0656163755387,"nonmatch",3,-2.63426372123846,"nonmatch"
"12","1","2",-7.11852480797697,"nonmatch",3,-3.0915360433958,"nonmatch"
"13","1","2",-5.54631782426071,"nonmatch",3,-2.40873522595807,"nonmatch"
"14","1","2",-7.09987525503449,"nonmatch",3,-3.08343664546292,"nonmatch"
"15","1","2",-4.72819403901805,"nonmatch",3,-2.05342858051339,"nonmatch"
"16","1","2",-5.61860404387464,"nonmatch",3,-2.44012873225405,"nonmatch"
"17","1","2",-7.33948906565797,"nonmatch",3,-3.18749960120451,"nonmatch"
"18","1","2",-6.41339385992653,"nonmatch",3,-2.78530156363829,"nonmatch"
"19","1","2",-7.64035250750143,"nonmatch",3,-3.31816293380354,"nonmatch"
"20","1","2",-3.75773931691839,"nonmatch",3,-1.63196544976855,"nonmatch"
"21","1","2",-6.48582038160769,"nonmatch",3,-2.81675600234786,"nonmatch"
"22","1","2",-6.86792499404369,"nonmatch",3,-2.9827019270386,"nonmatch"
"23","1","2",-7.84966567664084,"nonmatch",3,-3.40906648815047,"nonmatch"
"24","1","2",-5.25244439846244,"nonmatch",3,-2.28110761875588,"nonmatch"
"25","1","2",-8.92293139307908,"nonmatch",3,-3.87517986641554,"nonmatch"
"26","1","2",-5.11309591958288,"nonmatch",3,-2.22058934331688,"nonmatch"
"27","1","2",-9.16747083776413,"nonmatch",3,-3.98138199784994,"nonmatch"
"28","1","2",-5.48745666077111,"nonmatch",3,-2.38317214745614,"nonmatch"
"29","1","2",-6.59205085648832,"nonmatch",3,-2.86289131139848,"nonmatch"
"30","1","2",-6.38189618463476,"nonmatch",3,-2.77162229706629,"nonmatch"
"31","1","2",-7.7342650104788,"nonmatch",3,-3.35894861562834,"nonmatch"
"32","1","2",-7.28091345938563,"nonmatch",3,-3.16206053862629,"nonmatch"
"33","1","2",-8.90577392564286,"nonmatch",3,-3.86772847298456,"nonmatch"
"34","1","2",-6.17860593224536,"nonmatch",3,-2.68333446222886,"nonmatch"
"35","1","2",-3.74298471147172,"nonmatch",3,-1.6255576060404,"nonmatch"
"36","1","2",-5.59903647269774,"nonmatch",3,-2.43163064406768,"nonmatch"
"37","1","2",-3.75203488466639,"nonmatch",3,-1.62948804631912,"nonmatch"
"38","1","2",-4.69830806823736,"nonmatch",3,-2.04044926831701,"nonmatch"
"39","1","2",-6.06073276988261,"nonmatch",3,-2.63214279825023,"nonmatch"
"40","1","2",-3.23132154656197,"nonmatch",3,-1.40334511692695,"nonmatch"
"41","1","2",-5.34652510323295,"nonmatch",3,-2.32196634969128,"nonmatch"
"42","1","2",-6.30857356467688,"nonmatch",3,-2.7397786878199,"nonmatch"
"43","1","2",-6.38999568630921,"nonmatch",3,-2.77513986594967,"nonmatch"
"44","1","2",-4.82705154798366,"nonmatch",3,-2.09636185115185,"nonmatch"
"45","1","2",-3.43798749977846,"nonmatch",3,-1.49309900000614,"nonmatch"
"46","1","2",-7.02348355719946,"nonmatch",3,-3.05026015262995,"nonmatch"
"47","1","2",-5.67502848539688,"nonmatch",3,-2.46463355585163,"nonmatch"
"48","1","2",-5.09734010985468,"nonmatch",3,-2.213746682094,"nonmatch"
"49","1","2",-6.53942390168279,"nonmatch",3,-2.84003571532707,"nonmatch"
"50","1","2",-6.22437684919315,"nonmatch",3,-2.70321251889093,"nonmatch"
"51","1","2",-7.44866888217983,"nonmatch",3,-3.23491579305517,"nonmatch"
"52","1","2",-6.92168592271114,"nonmatch",3,-3.00605000170087,"nonmatch"
"53","1","2",-4.67268510421702,"nonmatch",3,-2.02932135643297,"nonmatch"
"54","1","2",-7.09978524234793,"nonmatch",3,-3.08339755344985,"nonmatch"
"55","1","2",-8.0635037192378,"nonmatch",3,-3.50193517007132,"nonmatch"
"56","1","2",-8.83728408802539,"nonmatch",3,-3.83798371444084,"nonmatch"
"57","1","2",-8.75828885960054,"nonmatch",3,-3.80367652263924,"nonmatch"
"58","1","2",-4.31771169712859,"nonmatch",3,-1.87515836451207,"nonmatch"
"59","1","2",-6.67446528201759,"nonmatch",3,-2.89868344163507,"nonmatch"
"60","1","2",-6.59308446292877,"nonmatch",3,-2.86334020097203,"nonmatch"
"61","1","2",-5.84110487138764,"nonmatch",3,-2.53675961386185,"nonmatch"
"62","1","2",-6.05662461978122,"nonmatch",3,-2.63035865133036,"nonmatch"
"63","1","2",-7.35420264630145,"nonmatch",3,-3.19388962808701,"nonmatch"
"64","1","2",-7.32235989611008,"nonmatch",3,-3.18006049739028,"nonmatch"
"65","1","2",-7.69248752007819,"nonmatch",3,-3.34080488207959,"nonmatch"
"66","1","2",-5.81801174815714,"nonmatch",3,-2.52673039787294,"nonmatch"
"67","1","2",-6.21312868318907,"nonmatch",3,-2.69832750246383,"nonmatch"
"68","1","2",-6.23182528111032,"nonmatch",3,-2.70644733177139,"nonmatch"
"69","1","2",-4.05603004628123,"nonmatch",3,-1.76151146753373,"nonmatch"
"70","1","2",-5.55574745619725,"nonmatch",3,-2.41283046307449,"nonmatch"
"71","1","2",-7.18492020355291,"nonmatch",3,-3.12037119731822,"nonmatch"
"72","1","2",-9.12555542659337,"nonmatch",3,-3.96317836607178,"nonmatch"
"73","1","2",-7.12583908996167,"nonmatch",3,-3.09471259570084,"nonmatch"
"74","1","2",-7.4450809559554,"nonmatch",3,-3.23335757649442,"nonmatch"
"75","1","2",-8.69713926572575,"nonmatch",3,-3.77711959144879,"nonmatch"
"76","1","2",-8.7632395658727,"nonmatch",3,-3.80582658705476,"nonmatch"
"77","1","2",-5.59739796331502,"nonmatch",3,-2.43091904848421,"nonmatch"
"78","1","2",-8.42917154965884,"nonmatch",3,-3.66074269103272,"nonmatch"
"79","1","2",-8.83076729365911,"nonmatch",3,-3.83515350660786,"nonmatch"
"80","1","2",-7.21354778975777,"nonmatch",3,-3.1328040000372,"nonmatch"
"81","1","2",-8.92358266278402,"nonmatch",3,-3.87546270925462,"nonmatch"
"82","1","2",10.511227119904,"match",3,4.56496793620611,"match"
"83","1","2",7.61090200797535,"match",3,3.30537274437007,"match"
"84","1","2",5.49645601275522,"match",3,2.38708051636354,"match"
"85","1","2",3.36913646543155,"match",3,1.46319737571595,"match"
"86","1","2",4.45937469059151,"match",3,1.93668182086292,"match"
"87","1","2",4.89425270464963,"match",3,2.1255469426694,"match"
"88","1","2",7.36048114944406,"match",3,3.19661634735646,"match"
"89","1","2",3.57701783528531,"match",3,1.55347910753392,"match"
"90","1","2",6.4878565331726,"match",3,2.81764029173682,"match"
"91","1","2",11.684417589404,"match",3,5.07447808333144,"match"
"92","1","2",-8.35990707224451,"nonmatch",3,-3.63066151069976,"nonmatch"
"93","1","2",-3.35252749499446,"nonmatch",3,-1.45598419150503,"nonmatch"
"94","1","2",-8.32258734868849,"nonmatch",3,-3.61445376069322,"nonmatch"
"95","1","2",-7.06897299231297,"nonmatch",3,-3.07001596328464,"nonmatch"
"96","1","2",-8.29063683662639,"nonmatch",3,-3.60057782961067,"nonmatch"
"97","1","2",-7.83490900572396,"nonmatch",3,-3.40265774740001,"nonmatch"
"98","1","2",-6.49327526901508,"nonmatch",3,-2.8199936188121,"nonmatch"
"99","1","2",-5.58714751323994,"nonmatch",3,-2.42646733457958,"nonmatch"
"100","1","2",-7.05093563931107,"nonmatch",3,-3.06218244040777,"nonmatch"
"101","1","2",-8.77547586528426,"nonmatch",3,-3.81114074436812,"nonmatch"
"102","1","2",-8.01671485191505,"nonmatch",3,-3.48161502317855,"nonmatch"
"103","1","2",-7.59608732414133,"nonmatch",3,-3.29893880892982,"nonmatch"
"104","1","2",-7.29380358156605,"nonmatch",3,-3.16765864756031,"nonmatch"
"105","1","2",-8.89701626170342,"nonmatch",3,-3.86392506786129,"nonmatch"
"106","1","2",-7.94311004277633,"nonmatch",3,-3.44964886072806,"nonmatch"
"107","1","2",-4.02902660223204,"nonmatch",3,-1.74978402079078,"nonmatch"
"108","1","2",-7.50047017235593,"nonmatch",3,-3.25741280753411,"nonmatch"
"109","1","2",-6.85679505001316,"nonmatch",3,-2.97786825376225,"nonmatch"
"110","1","2",-2.24552396578728,"nonmatch",3,-0.975218667322924,"nonmatch"
"111","1","2",-7.65438701342811,"nonmatch",3,-3.32425804228374,"nonmatch"
"112","1","2",-5.53511084110647,"nonmatch",3,-2.4038680950154,"nonmatch"
"113","1","2",-6.44913899628698,"nonmatch",3,-2.80082547911451,"nonmatch"
"114","1","2",-9.24585978734553,"nonmatch",3,-4.01542588609534,"nonmatch"
"115","1","2",-5.06939733625555,"nonmatch",3,-2.20161128971083,"nonmatch"
"116","1","2",-7.11886819472536,"nonmatch",3,-3.09168517436579,"nonmatch"
"117","1","2",-6.96667788825606,"nonmatch",3,-3.02558976406701,"nonmatch"
"118","1","2",-6.30863474703876,"nonmatch",3,-2.73980525898205,"nonmatch"
"119","1","2",-7.44902584845816,"nonmatch",3,-3.23507082154007,"nonmatch"
"120","1","2",-7.21621278555663,"nonmatch",3,-3.13396139300694,"nonmatch"
"121","1","2",-5.76159520868783,"nonmatch",3,-2.50222900609334,"nonmatch"
"122","1","2",-3.40391233013749,"nonmatch",3,-1.47830034186115,"nonmatch"
"123","1","2",-6.27107827791263,"nonmatch",3,-2.7234946916808,"nonmatch"
"124","1","2",-6.21546281825518,"nonmatch",3,-2.69934120444306,"nonmatch"
"125","1","2",-6.54928640210741,"nonmatch",3,-2.84431894483925,"nonmatch"
"126","1","2",-7.42365539201326,"nonmatch",3,-3.22405257230268,"nonmatch"
"127","1","2",-3.6139532664872,"nonmatch",3,-1.56951996149162,"nonmatch"
"128","1","2",-6.32168180484019,"nonmatch",3,-2.74547152419028,"nonmatch"
"129","1","2",-5.37863136388785,"nonmatch",3,-2.33590992152825,"nonmatch"
"130","1","2",-8.34833063387796,"nonmatch",3,-3.62563392739707,"nonmatch"
"131","1","2",-3.94217214255782,"nonmatch",3,-1.71206360822558,"nonmatch"
"132","1","2",-8.21005880833282,"nonmatch",3,-3.56558323656013,"nonmatch"
"133","1","2",-7.76628927161545,"nonmatch",3,-3.37285657552702,"nonmatch"
"134","1","2",-6.44135688144309,"nonmatch",3,-2.79744574958027,"nonmatch"
"135","1","2",-6.20815338616367,"nonmatch",3,-2.69616675841987,"nonmatch"
"136","1","2",-6.42953098261779,"nonmatch",3,-2.7923098269769,"nonmatch"
"137","1","2",-6.81170290132435,"nonmatch",3,-2.95828498240953,"nonmatch"
"138","1","2",-7.13442277710048,"nonmatch",3,-3.09844044365961,"nonmatch"
"139","1","2",-9.0250542900765,"nonmatch",3,-3.91953127705749,"nonmatch"
"140","1","2",-7.30258726118046,"nonmatch",3,-3.17147335114766,"nonmatch"
"141","1","2",-7.96859897681157,"nonmatch",3,-3.46071856412916,"nonmatch"
"142","1","2",-3.9215904051123,"nonmatch",3,-1.70312507322501,"nonmatch"
"143","1","2",-7.62686917694417,"nonmatch",3,-3.31230719774485,"nonmatch"
"144","1","2",-8.96038723901232,"nonmatch",3,-3.89144673361936,"nonmatch"
"145","1","2",-9.03572891864765,"nonmatch",3,-3.92416720934231,"nonmatch"
"146","1","2",-6.27374292294526,"nonmatch",3,-2.72465193231471,"nonmatch"
"147","1","2",-8.13004572917572,"nonmatch",3,-3.53083399780211,"nonmatch"
"148","1","2",-7.16531959233056,"nonmatch",3,-3.11185876002242,"nonmatch"
"149","1","2",-8.27459644338375,"nonmatch",3,-3.59361157533783,"nonmatch"
"150","1","2",-8.81102530210094,"nonmatch",3,-3.82657966861237,"nonmatch"
"151","1","2",-7.21902107298059,"nonmatch",3,-3.13518101673876,"nonmatch"
"152","1","2",-8.84594218632838,"nonmatch",3,-3.8417438787576,"nonmatch"
"153","1","2",-8.15919147031414,"nonmatch",3,-3.54349183234951,"nonmatch"
"154","1","2",-5.68272145087834,"nonmatch",3,-2.4679745683097,"nonmatch"
"155","1","2",-5.56212409739265,"nonmatch",3,-2.41559980315873,"nonmatch"
"156","1","2",-6.36040382989159,"nonmatch",3,-2.76228828599823,"nonmatch"
"157","1","2",-6.73117964324112,"nonmatch",3,-2.92331417575912,"nonmatch"
"158","1","2",-8.52715326196075,"nonmatch",3,-3.70329560801287,"nonmatch"
"159","1","2",-7.66975389556765,"nonmatch",3,-3.330931794401,"nonmatch"
"160","1","2",-7.5993465684329,"nonmatch",3,-3.30035428074082,"nonmatch"
"161","1","2",-6.8527960329636,"nonmatch",3,-2.97613150272458,"nonmatch"
"162","1","2",-5.44435320975447,"nonmatch",3,-2.36445255652862,"nonmatch"
"163","1","2",-8.5517396942677,"nonmatch",3,-3.71397335989346,"nonmatch"
"164","1","2",-7.19317216730404,"nonmatch",3,-3.1239549796402,"nonmatch"
"165","1","2",-7.07563779138511,"nonmatch",3,-3.07291044874467,"nonmatch"
"166","1","2",-7.63359399092943,"nonmatch",3,-3.31522774735047,"nonmatch"
