"","model","k","classes","match","df","logodds","matching"
"1","1","2",21.8559630583694,"match",15,9.49192415293115,"match"
"2","1","2",24.7930772724782,"match",15,10.7674966488382,"match"
"3","1","2",18.8715114595987,"match",15,8.1957932920777,"match"
"4","1","2",20.9527172595576,"match",15,9.09964948670489,"match"
"5","1","2",16.614412130556,"match",15,7.21554750836692,"match"
"6","1","2",27.5399384799314,"match",15,11.9604433137892,"match"
"7","1","2",24.3657120194267,"match",15,10.5818942776808,"match"
"8","1","2",17.1382270970704,"match",15,7.44303745786248,"match"
"9","1","2",27.5107851264274,"match",15,11.9477821732335,"match"
"10","1","2",-9.94852530913955,"nonmatch",15,-4.32058964483415,"nonmatch"
"11","1","2",-10.5496621255849,"nonmatch",15,-4.58166004708527,"nonmatch"
"12","1","2",-11.3679141799814,"nonmatch",15,-4.93702239911565,"nonmatch"
"13","1","2",-9.25523359573046,"nonmatch",15,-4.01949687935133,"nonmatch"
"14","1","2",-12.1359438936881,"nonmatch",15,-5.27057346571619,"nonmatch"
"15","1","2",-9.09147560487697,"nonmatch",15,-3.9483776875561,"nonmatch"
"16","1","2",-9.8469154883325,"nonmatch",15,-4.27646106035047,"nonmatch"
"17","1","2",-12.334760513454,"nonmatch",15,-5.35691842659118,"nonmatch"
"18","1","2",-11.2270894916093,"nonmatch",15,-4.87586301403989,"nonmatch"
"19","1","2",-11.2612921740685,"nonmatch",15,-4.89071705029823,"nonmatch"
"20","1","2",-7.59468814832106,"nonmatch",15,-3.29833115459186,"nonmatch"
"21","1","2",-9.75237180962711,"nonmatch",15,-4.23540126238989,"nonmatch"
"22","1","2",-9.68332591425561,"nonmatch",15,-4.20541501103197,"nonmatch"
"23","1","2",-12.1821643483671,"nonmatch",15,-5.29064675413435,"nonmatch"
"24","1","2",-8.81523911444886,"nonmatch",15,-3.82840970406285,"nonmatch"
"25","1","2",-12.0719805098163,"nonmatch",15,-5.24279452105684,"nonmatch"
"26","1","2",-9.19867623397337,"nonmatch",15,-3.99493432922922,"nonmatch"
"27","1","2",-12.4461900585727,"nonmatch",15,-5.40531166315722,"nonmatch"
"28","1","2",-10.0231327169495,"nonmatch",15,-4.3529912303551,"nonmatch"
"29","1","2",-9.66905463090419,"nonmatch",15,-4.19921707142277,"nonmatch"
"30","1","2",-10.1994169027101,"nonmatch",15,-4.42955047947775,"nonmatch"
"31","1","2",-12.24356511441,"nonmatch",15,-5.31731276801144,"nonmatch"
"32","1","2",-11.001016611318,"nonmatch",15,-4.77768080962143,"nonmatch"
"33","1","2",-11.8125356623412,"nonmatch",15,-5.13011905544018,"nonmatch"
"34","1","2",-10.3502783242623,"nonmatch",15,-4.49506876238997,"nonmatch"
"35","1","2",-7.21656089105696,"nonmatch",15,-3.13411257330485,"nonmatch"
"36","1","2",-10.449436409592,"nonmatch",15,-4.53813257168474,"nonmatch"
"37","1","2",-6.09387398042686,"nonmatch",15,-2.64653584311319,"nonmatch"
"38","1","2",-9.01211506339817,"nonmatch",15,-3.913911842311,"nonmatch"
"39","1","2",-10.2384597455396,"nonmatch",15,-4.44650657067641,"nonmatch"
"40","1","2",-5.63114370202295,"nonmatch",15,-2.44557463659282,"nonmatch"
"41","1","2",-9.42172255233211,"nonmatch",15,-4.09180211450126,"nonmatch"
"42","1","2",-10.695967501351,"nonmatch",15,-4.64519966445326,"nonmatch"
"43","1","2",-9.11356949838536,"nonmatch",15,-3.95797294359055,"nonmatch"
"44","1","2",-7.9914875340452,"nonmatch",15,-3.47065893823445,"nonmatch"
"45","1","2",-5.22845133788653,"nonmatch",15,-2.27068756494379,"nonmatch"
"46","1","2",-10.1936581139131,"nonmatch",15,-4.42704946928077,"nonmatch"
"47","1","2",-9.96038298575122,"nonmatch",15,-4.32573936835479,"nonmatch"
"48","1","2",-8.1361202418085,"nonmatch",15,-3.53347212511878,"nonmatch"
"49","1","2",-11.6342055403339,"nonmatch",15,-5.05267126749527,"nonmatch"
"50","1","2",-11.5851814067903,"nonmatch",15,-5.03138035681716,"nonmatch"
"51","1","2",-10.3921917916086,"nonmatch",15,-4.5132715499759,"nonmatch"
"52","1","2",-10.7579928297272,"nonmatch",15,-4.67213692230529,"nonmatch"
"53","1","2",-9.01268610494358,"nonmatch",15,-3.91415984250311,"nonmatch"
"54","1","2",-10.8674953479259,"nonmatch",15,-4.71969326171347,"nonmatch"
"55","1","2",-11.8810222560722,"nonmatch",15,-5.15986240518186,"nonmatch"
"56","1","2",-12.5566563564452,"nonmatch",15,-5.45328656675955,"nonmatch"
"57","1","2",-12.0681763305386,"nonmatch",15,-5.24114238698836,"nonmatch"
"58","1","2",-8.01345912394213,"nonmatch",15,-3.48020107848533,"nonmatch"
"59","1","2",-10.4218790274428,"nonmatch",15,-4.52616455268165,"nonmatch"
"60","1","2",-11.361470970434,"nonmatch",15,-4.93422414876345,"nonmatch"
"61","1","2",-9.87458750573814,"nonmatch",15,-4.28847886481287,"nonmatch"
"62","1","2",-10.4679065500839,"nonmatch",15,-4.54615405178035,"nonmatch"
"63","1","2",-11.2416232299606,"nonmatch",15,-4.88217493640731,"nonmatch"
"64","1","2",-10.7230632200381,"nonmatch",15,-4.65696718556226,"nonmatch"
"65","1","2",-12.6583416522044,"nonmatch",15,-5.49744792959847,"nonmatch"
"66","1","2",-10.4225202609287,"nonmatch",15,-4.52644303684616,"nonmatch"
"67","1","2",-9.46069830666431,"nonmatch",15,-4.10872906953575,"nonmatch"
"68","1","2",-9.23884939916312,"nonmatch",15,-4.01238131319172,"nonmatch"
"69","1","2",-7.66147010154484,"nonmatch",15,-3.32733418836767,"nonmatch"
"70","1","2",-8.04098185107836,"nonmatch",15,-3.49215404700753,"nonmatch"
"71","1","2",-10.5654670331619,"nonmatch",15,-4.58852403123294,"nonmatch"
"72","1","2",-12.5045854610259,"nonmatch",15,-5.43067246421116,"nonmatch"
"73","1","2",-11.5342579388492,"nonmatch",15,-5.00926457569098,"nonmatch"
"74","1","2",-12.2489394307845,"nonmatch",15,-5.31964680395687,"nonmatch"
"75","1","2",-11.7495816833563,"nonmatch",15,-5.10277848975315,"nonmatch"
"76","1","2",-12.0374772592611,"nonmatch",15,-5.22780994973296,"nonmatch"
"77","1","2",-9.62406889401018,"nonmatch",15,-4.17968001412535,"nonmatch"
"78","1","2",-12.8756776272353,"nonmatch",15,-5.59183574427345,"nonmatch"
"79","1","2",-12.3577495803702,"nonmatch",15,-5.36690245149699,"nonmatch"
"80","1","2",-12.0144960564495,"nonmatch",15,-5.21782934016439,"nonmatch"
"81","1","2",-12.7652168930018,"nonmatch",15,-5.54386325692885,"nonmatch"
"82","1","2",23.5142645242002,"match",15,10.2121153288735,"match"
"83","1","2",16.82951363251,"match",15,7.30896490371463,"match"
"84","1","2",12.7122081345853,"match",15,5.52084184565602,"match"
"85","1","2",8.1095762735689,"match",15,3.52194422618451,"match"
"86","1","2",12.6084113032639,"match",15,5.47576345457409,"match"
"87","1","2",11.6270085043414,"match",15,5.04954563447765,"match"
"88","1","2",16.9473827720451,"match",15,7.36015482060143,"match"
"89","1","2",8.53616455507711,"match",15,3.70720916288812,"match"
"90","1","2",15.8951539153279,"match",15,6.90317763442978,"match"
"91","1","2",27.2734878946097,"match",15,11.8447252948841,"match"
"92","1","2",-10.6327888109183,"nonmatch",15,-4.61776150782444,"nonmatch"
"93","1","2",-5.61271592009104,"nonmatch",15,-2.43757155258607,"nonmatch"
"94","1","2",-11.2529194109361,"nonmatch",15,-4.88708080547155,"nonmatch"
"95","1","2",-10.1664751762178,"nonmatch",15,-4.41524406943777,"nonmatch"
"96","1","2",-12.6637103759637,"nonmatch",15,-5.49977953670197,"nonmatch"
"97","1","2",-11.1738272653496,"nonmatch",15,-4.85273152308144,"nonmatch"
"98","1","2",-10.0453756404672,"nonmatch",15,-4.36265120930023,"nonmatch"
"99","1","2",-9.34513202890056,"nonmatch",15,-4.05853927280885,"nonmatch"
"100","1","2",-10.6048999177678,"nonmatch",15,-4.6056495154228,"nonmatch"
"101","1","2",-11.7062542573176,"nonmatch",15,-5.08396162770949,"nonmatch"
"102","1","2",-11.2215642708332,"nonmatch",15,-4.87346344114553,"nonmatch"
"103","1","2",-11.1084325159399,"nonmatch",15,-4.82433094426736,"nonmatch"
"104","1","2",-10.3171986502371,"nonmatch",15,-4.48070244249767,"nonmatch"
"105","1","2",-12.2235446937616,"nonmatch",15,-5.30861800979845,"nonmatch"
"106","1","2",-11.6081336461382,"nonmatch",15,-5.04134838771328,"nonmatch"
"107","1","2",-5.59124076679764,"nonmatch",15,-2.42824501201272,"nonmatch"
"108","1","2",-11.8709032875282,"nonmatch",15,-5.15546779298065,"nonmatch"
"109","1","2",-10.1141698947627,"nonmatch",15,-4.39252817432741,"nonmatch"
"110","1","2",-4.04846837964243,"nonmatch",15,-1.75822747743851,"nonmatch"
"111","1","2",-10.9236416780045,"nonmatch",15,-4.74407730304572,"nonmatch"
"112","1","2",-8.52782407358128,"nonmatch",15,-3.70358693779806,"nonmatch"
"113","1","2",-9.53624318524196,"nonmatch",15,-4.14153779343807,"nonmatch"
"114","1","2",-12.4150574594354,"nonmatch",15,-5.39179094714459,"nonmatch"
"115","1","2",-7.93884363724694,"nonmatch",15,-3.44779598434909,"nonmatch"
"116","1","2",-10.8273599535516,"nonmatch",15,-4.70226268140769,"nonmatch"
"117","1","2",-10.4305573899069,"nonmatch",15,-4.52993351761177,"nonmatch"
"118","1","2",-8.55543893951394,"nonmatch",15,-3.71557992169111,"nonmatch"
"119","1","2",-10.8409233412523,"nonmatch",15,-4.70815318584204,"nonmatch"
"120","1","2",-10.0262054719313,"nonmatch",15,-4.35432571088797,"nonmatch"
"121","1","2",-8.6123063754305,"nonmatch",15,-3.74027713530966,"nonmatch"
"122","1","2",-4.91135507185325,"nonmatch",15,-2.13297440637341,"nonmatch"
"123","1","2",-9.04248386472734,"nonmatch",15,-3.92710084515027,"nonmatch"
"124","1","2",-9.57470744712759,"nonmatch",15,-4.15824261012548,"nonmatch"
"125","1","2",-10.0712498297299,"nonmatch",15,-4.37388822692075,"nonmatch"
"126","1","2",-10.7415288969414,"nonmatch",15,-4.66498672714596,"nonmatch"
"127","1","2",-4.39307038616784,"nonmatch",15,-1.90788622732528,"nonmatch"
"128","1","2",-9.55735373785336,"nonmatch",15,-4.15070598994713,"nonmatch"
"129","1","2",-8.05799622613222,"nonmatch",15,-3.49954329620645,"nonmatch"
"130","1","2",-11.777011177511,"nonmatch",15,-5.11469096770593,"nonmatch"
"131","1","2",-5.18450665013638,"nonmatch",15,-2.25160262954494,"nonmatch"
"132","1","2",-11.9452549607832,"nonmatch",15,-5.18775831439559,"nonmatch"
"133","1","2",-11.5403040090493,"nonmatch",15,-5.01189035061611,"nonmatch"
"134","1","2",-9.89735337130174,"nonmatch",15,-4.29836595460289,"nonmatch"
"135","1","2",-10.3525222572465,"nonmatch",15,-4.49604329010276,"nonmatch"
"136","1","2",-9.33341838520615,"nonmatch",15,-4.05345210198939,"nonmatch"
"137","1","2",-11.9175081021893,"nonmatch",15,-5.17570800681809,"nonmatch"
"138","1","2",-11.1117816277694,"nonmatch",15,-4.8257854450542,"nonmatch"
"139","1","2",-12.1545624325247,"nonmatch",15,-5.27865939439405,"nonmatch"
"140","1","2",-10.7240222789435,"nonmatch",15,-4.65738369955269,"nonmatch"
"141","1","2",-11.2259431203589,"nonmatch",15,-4.87536515133163,"nonmatch"
"142","1","2",-5.65028812992317,"nonmatch",15,-2.45388895598908,"nonmatch"
"143","1","2",-11.1843093769763,"nonmatch",15,-4.85728384631962,"nonmatch"
"144","1","2",-12.1108232388811,"nonmatch",15,-5.25966370395171,"nonmatch"
"145","1","2",-12.6757129631473,"nonmatch",15,-5.50499219408441,"nonmatch"
"146","1","2",-10.5865873264892,"nonmatch",15,-4.59769645808116,"nonmatch"
"147","1","2",-11.8416421989044,"nonmatch",15,-5.14275986365685,"nonmatch"
"148","1","2",-10.4030888374866,"nonmatch",15,-4.51800407686973,"nonmatch"
"149","1","2",-11.2748801625883,"nonmatch",15,-4.89661823873255,"nonmatch"
"150","1","2",-12.1802791667268,"nonmatch",15,-5.28982803015058,"nonmatch"
"151","1","2",-10.2289161628032,"nonmatch",15,-4.44236184535642,"nonmatch"
"152","1","2",-11.6953878905855,"nonmatch",15,-5.0792424245994,"nonmatch"
"153","1","2",-11.9119699607709,"nonmatch",15,-5.17330282256012,"nonmatch"
"154","1","2",-9.79667826523121,"nonmatch",15,-4.25464331157144,"nonmatch"
"155","1","2",-8.40429020575389,"nonmatch",15,-3.64993686067246,"nonmatch"
"156","1","2",-9.56305706316338,"nonmatch",15,-4.15318291265777,"nonmatch"
"157","1","2",-10.286635965931,"nonmatch",15,-4.46742923735136,"nonmatch"
"158","1","2",-12.6071705066254,"nonmatch",15,-5.47522458344084,"nonmatch"
"159","1","2",-10.9910759274807,"nonmatch",15,-4.77336362548452,"nonmatch"
"160","1","2",-11.0854805084643,"nonmatch",15,-4.81436301407212,"nonmatch"
"161","1","2",-11.1362520424219,"nonmatch",15,-4.83641281110764,"nonmatch"
"162","1","2",-9.30145126802567,"nonmatch",15,-4.03956895939555,"nonmatch"
"163","1","2",-12.017638080929,"nonmatch",15,-5.21919390405785,"nonmatch"
