"","model","k","classes","match","df","logodds","matching"
"1","1","2",25.6131554812382,"match",20,11.1236520896318,"match"
"2","1","2",29.3398860678376,"match",20,12.742150618932,"match"
"3","1","2",22.3344954024687,"match",20,9.69974810938569,"match"
"4","1","2",25.0379262571097,"match",20,10.8738332117633,"match"
"5","1","2",19.3671590926013,"match",20,8.41105032405913,"match"
"6","1","2",32.8603175416176,"match",20,14.2710545819131,"match"
"7","1","2",28.8646278348934,"match",20,12.5357485908852,"match"
"8","1","2",20.050568389518,"match",20,8.70785121059144,"match"
"9","1","2",33.1159209043442,"match",20,14.3820617119012,"match"
"10","1","2",-10.8824207059042,"nonmatch",20,-4.72617526232389,"nonmatch"
"11","1","2",-11.4339271242201,"nonmatch",20,-4.96569145653269,"nonmatch"
"12","1","2",-12.2082322860554,"nonmatch",20,-5.30196791562696,"nonmatch"
"13","1","2",-10.1417418188838,"nonmatch",20,-4.40450250882867,"nonmatch"
"14","1","2",-13.0680009658495,"nonmatch",20,-5.67536070897478,"nonmatch"
"15","1","2",-9.98282220838192,"nonmatch",20,-4.3354845989215,"nonmatch"
"16","1","2",-10.779359684818,"nonmatch",20,-4.68141642956683,"nonmatch"
"17","1","2",-13.1610749283702,"nonmatch",20,-5.71578221730642,"nonmatch"
"18","1","2",-12.1450587903027,"nonmatch",20,-5.27453201501903,"nonmatch"
"19","1","2",-11.8249143196649,"nonmatch",20,-5.1354950380092,"nonmatch"
"20","1","2",-8.43521803448946,"nonmatch",20,-3.66336864602956,"nonmatch"
"21","1","2",-10.263428330043,"nonmatch",20,-4.45735028914717,"nonmatch"
"22","1","2",-10.1824325909509,"nonmatch",20,-4.42217428660181,"nonmatch"
"23","1","2",-12.9621515397904,"nonmatch",20,-5.62939088732471,"nonmatch"
"24","1","2",-9.30437824203296,"nonmatch",20,-4.04084012805559,"nonmatch"
"25","1","2",-12.6328487039103,"nonmatch",20,-5.48637648282687,"nonmatch"
"26","1","2",-10.036135187532,"nonmatch",20,-4.3586381315802,"nonmatch"
"27","1","2",-13.0441500863854,"nonmatch",20,-5.665002403635,"nonmatch"
"28","1","2",-10.9394586044418,"nonmatch",20,-4.75094650691811,"nonmatch"
"29","1","2",-10.1448455248718,"nonmatch",20,-4.40585043121272,"nonmatch"
"30","1","2",-10.746646793201,"nonmatch",20,-4.66720940125048,"nonmatch"
"31","1","2",-13.0277578755815,"nonmatch",20,-5.65788335693669,"nonmatch"
"32","1","2",-11.5582612559345,"nonmatch",20,-5.01968908384848,"nonmatch"
"33","1","2",-12.361280119282,"nonmatch",20,-5.36843574506456,"nonmatch"
"34","1","2",-11.1364569049581,"nonmatch",20,-4.83650178177666,"nonmatch"
"35","1","2",-8.05515138056672,"nonmatch",20,-3.49830779547549,"nonmatch"
"36","1","2",-11.411859115561,"nonmatch",20,-4.95610744214548,"nonmatch"
"37","1","2",-6.70634578755077,"nonmatch",20,-2.91252896926842,"nonmatch"
"38","1","2",-9.912255587526,"nonmatch",20,-4.30483790487722,"nonmatch"
"39","1","2",-11.0920746164502,"nonmatch",20,-4.81722679878347,"nonmatch"
"40","1","2",-6.13801632454684,"nonmatch",20,-2.66570661958277,"nonmatch"
"41","1","2",-10.3189277271612,"nonmatch",20,-4.48145337106458,"nonmatch"
"42","1","2",-11.6736155316142,"nonmatch",20,-5.06978680924013,"nonmatch"
"43","1","2",-9.62762732895039,"nonmatch",20,-4.1812254227841,"nonmatch"
"44","1","2",-8.43093577837205,"nonmatch",20,-3.66150888582768,"nonmatch"
"45","1","2",-5.78628427793479,"nonmatch",20,-2.51295133263062,"nonmatch"
"46","1","2",-10.7418283008388,"nonmatch",20,-4.66511675660647,"nonmatch"
"47","1","2",-10.7989589384933,"nonmatch",20,-4.68992827728742,"nonmatch"
"48","1","2",-8.59598749048447,"nonmatch",20,-3.73318993362679,"nonmatch"
"49","1","2",-12.4661365105609,"nonmatch",20,-5.41397429718924,"nonmatch"
"50","1","2",-12.6321952603412,"nonmatch",20,-5.48609269589057,"nonmatch"
"51","1","2",-10.9110571524226,"nonmatch",20,-4.73861191302815,"nonmatch"
"52","1","2",-11.3516577187777,"nonmatch",20,-4.9299623077196,"nonmatch"
"53","1","2",-9.9197527080432,"nonmatch",20,-4.308093862948,"nonmatch"
"54","1","2",-11.4521444006688,"nonmatch",20,-4.97360311916969,"nonmatch"
"55","1","2",-12.5821531426587,"nonmatch",20,-5.46435968031835,"nonmatch"
"56","1","2",-13.1818015489828,"nonmatch",20,-5.72478367426696,"nonmatch"
"57","1","2",-12.6270880030583,"nonmatch",20,-5.48387464223499,"nonmatch"
"58","1","2",-8.78135285118772,"nonmatch",20,-3.81369308691621,"nonmatch"
