"","model","k","classes","match","df","logodds","matching"
"1","1","2",22.6353155688839,"match",15,9.83039264770502,"match"
"2","1","2",25.5059461874463,"match",15,11.0770916849292,"match"
"3","1","2",19.5116114200472,"match",15,8.47378517276698,"match"
"4","1","2",22.0899652443382,"match",15,9.59355001105071,"match"
"5","1","2",17.0488874414158,"match",15,7.40423773839651,"match"
"6","1","2",28.2136062894443,"match",15,12.2530135260966,"match"
"7","1","2",25.3668505992783,"match",15,11.0166832385307,"match"
"8","1","2",18.1943429620968,"match",15,7.9017027502939,"match"
"9","1","2",28.3211889429109,"match",15,12.2997360788456,"match"
"10","1","2",-8.89300818153884,"nonmatch",15,-3.86218438076279,"nonmatch"
"11","1","2",-9.47543710656802,"nonmatch",15,-4.1151300490038,"nonmatch"
"12","1","2",-10.6136795040938,"nonmatch",15,-4.60946244131757,"nonmatch"
"13","1","2",-8.74081620576228,"nonmatch",15,-3.79608824549308,"nonmatch"
"14","1","2",-10.8745625385665,"nonmatch",15,-4.72276250361123,"nonmatch"
"15","1","2",-7.66013947077987,"nonmatch",15,-3.32675630276899,"nonmatch"
"16","1","2",-8.91687678771741,"nonmatch",15,-3.87255038471686,"nonmatch"
"17","1","2",-11.0143143249759,"nonmatch",15,-4.78345593328496,"nonmatch"
"18","1","2",-10.0172226818831,"nonmatch",15,-4.35042453473791,"nonmatch"
"19","1","2",-10.2684058085195,"nonmatch",15,-4.45951198058331,"nonmatch"
"20","1","2",-5.85796300217252,"nonmatch",15,-2.54408100703693,"nonmatch"
"21","1","2",-8.81500342859596,"nonmatch",15,-3.82830734699747,"nonmatch"
"22","1","2",-9.01946592961759,"nonmatch",15,-3.9171042829473,"nonmatch"
"23","1","2",-11.2159000842058,"nonmatch",15,-4.8710035161488,"nonmatch"
"24","1","2",-7.81746326901271,"nonmatch",15,-3.39508116021358,"nonmatch"
"25","1","2",-11.3407340394785,"nonmatch",15,-4.92521821407788,"nonmatch"
"26","1","2",-8.14341139375381,"nonmatch",15,-3.53663863217535,"nonmatch"
"27","1","2",-11.682306968393,"nonmatch",15,-5.07356145227298,"nonmatch"
"28","1","2",-8.77434109577778,"nonmatch",15,-3.81064792023322,"nonmatch"
"29","1","2",-8.79051283196215,"nonmatch",15,-3.81767121602089,"nonmatch"
"30","1","2",-9.19442797126555,"nonmatch",15,-3.99308933217754,"nonmatch"
"31","1","2",-11.1559623258545,"nonmatch",15,-4.84497287843917,"nonmatch"
"32","1","2",-9.94507542646813,"nonmatch",15,-4.31909137982674,"nonmatch"
"33","1","2",-11.2278281467875,"nonmatch",15,-4.87618380790781,"nonmatch"
"34","1","2",-9.47627409782398,"nonmatch",15,-4.11549354968767,"nonmatch"
"35","1","2",-5.78827443295898,"nonmatch",15,-2.51381564597576,"nonmatch"
"36","1","2",-9.09545819553968,"nonmatch",15,-3.95010730470459,"nonmatch"
"37","1","2",-5.27703241570692,"nonmatch",15,-2.2917860589661,"nonmatch"
"38","1","2",-7.60392066703636,"nonmatch",15,-3.30234078652398,"nonmatch"
"39","1","2",-9.33558697539489,"nonmatch",15,-4.05439390874187,"nonmatch"
"40","1","2",-4.46679453295091,"nonmatch",15,-1.93990421745619,"nonmatch"
"41","1","2",-8.43080803618749,"nonmatch",15,-3.66145340810182,"nonmatch"
"42","1","2",-9.65574137227885,"nonmatch",15,-4.19343519666564,"nonmatch"
"43","1","2",-8.41505835816925,"nonmatch",15,-3.65461340984674,"nonmatch"
"44","1","2",-6.78831047256892,"nonmatch",15,-2.94812577968274,"nonmatch"
"45","1","2",-4.71559248226899,"nonmatch",15,-2.04795579395388,"nonmatch"
"46","1","2",-9.29875226279072,"nonmatch",15,-4.03839679631538,"nonmatch"
"47","1","2",-8.91306090861185,"nonmatch",15,-3.87089316947771,"nonmatch"
"48","1","2",-7.15483193915229,"nonmatch",15,-3.10730403011898,"nonmatch"
"49","1","2",-10.279117477744,"nonmatch",15,-4.4641639994195,"nonmatch"
"50","1","2",-10.2199902885494,"nonmatch",15,-4.43848538742183,"nonmatch"
"51","1","2",-9.73024832927629,"nonmatch",15,-4.22579315695303,"nonmatch"
"52","1","2",-9.67111156899107,"nonmatch",15,-4.20011038828352,"nonmatch"
"53","1","2",-7.53931172119818,"nonmatch",15,-3.27428147786488,"nonmatch"
"54","1","2",-9.76452846370555,"nonmatch",15,-4.24068083017456,"nonmatch"
"55","1","2",-11.1587070973021,"nonmatch",15,-4.84616491753297,"nonmatch"
"56","1","2",-11.5482369980977,"nonmatch",15,-5.01533560398482,"nonmatch"
"57","1","2",-11.1892809013977,"nonmatch",15,-4.85944295194247,"nonmatch"
"58","1","2",-6.70774283888346,"nonmatch",15,-2.91313570095314,"nonmatch"
"59","1","2",-9.72043304363473,"nonmatch",15,-4.2215304325606,"nonmatch"
"60","1","2",-10.1947563676825,"nonmatch",15,-4.42752643483256,"nonmatch"
"61","1","2",-8.97464948659288,"nonmatch",15,-3.89764074904314,"nonmatch"
"62","1","2",-9.43639308962311,"nonmatch",15,-4.09817344789329,"nonmatch"
"63","1","2",-10.4588778754599,"nonmatch",15,-4.54223294821225,"nonmatch"
"64","1","2",-10.1621373902934,"nonmatch",15,-4.41336019294714,"nonmatch"
"65","1","2",-11.4108550485998,"nonmatch",15,-4.95567138140474,"nonmatch"
"66","1","2",-9.21069638619516,"nonmatch",15,-4.00015461501078,"nonmatch"
"67","1","2",-8.56522431154628,"nonmatch",15,-3.71982965476813,"nonmatch"
"68","1","2",-8.27677476608691,"nonmatch",15,-3.59455760886762,"nonmatch"
"69","1","2",-6.32708274007166,"nonmatch",15,-2.74781712055843,"nonmatch"
"70","1","2",-7.45689981087544,"nonmatch",15,-3.23849043996861,"nonmatch"
"71","1","2",-9.59202934816623,"nonmatch",15,-4.16576541616264,"nonmatch"
"72","1","2",-11.5894422535205,"nonmatch",15,-5.03323081904033,"nonmatch"
"73","1","2",-10.4041756064046,"nonmatch",15,-4.51847605461393,"nonmatch"
"74","1","2",-11.0331559340946,"nonmatch",15,-4.79163874015541,"nonmatch"
"75","1","2",-11.006000933547,"nonmatch",15,-4.77984547326149,"nonmatch"
"76","1","2",-11.1875455217807,"nonmatch",15,-4.8586892861508,"nonmatch"
"77","1","2",-8.84399909770673,"nonmatch",15,-3.84090000609137,"nonmatch"
"78","1","2",-11.7678996549109,"nonmatch",15,-5.11073388371897,"nonmatch"
"79","1","2",-11.3613192030824,"nonmatch",15,-4.93415823704015,"nonmatch"
"80","1","2",-10.8477761486768,"nonmatch",15,-4.71112932229205,"nonmatch"
"81","1","2",-11.7707951125182,"nonmatch",15,-5.11199136498042,"nonmatch"
"82","1","2",24.1206600000448,"match",15,10.4754695378839,"match"
"83","1","2",17.9238303902227,"match",15,7.78422063304354,"match"
"84","1","2",13.6752635852667,"match",15,5.93909151365382,"match"
"85","1","2",9.14597412063797,"match",15,3.97204609222302,"match"
"86","1","2",13.0391960590969,"match",15,5.66285089692042,"match"
"87","1","2",12.7095943139728,"match",15,5.51970667778733,"match"
"88","1","2",17.8370714344897,"match",15,7.74654169731299,"match"
"89","1","2",9.66456103025125,"match",15,4.19726552545532,"match"
"90","1","2",16.8914636106404,"match",15,7.33586943737071,"match"
"91","1","2",28.0034482337895,"match",15,12.1617430421982,"match"
"92","1","2",-10.4296918687623,"nonmatch",15,-4.52955762655467,"nonmatch"
"93","1","2",-4.49986452809804,"nonmatch",15,-1.95426633386516,"nonmatch"
"94","1","2",-10.8761433803836,"nonmatch",15,-4.72344905448916,"nonmatch"
"95","1","2",-9.28950797426551,"nonmatch",15,-4.03438205281976,"nonmatch"
"96","1","2",-11.6786752895625,"nonmatch",15,-5.07198423419685,"nonmatch"
"97","1","2",-10.3434388663829,"nonmatch",15,-4.49209842357372,"nonmatch"
"98","1","2",-9.2583981902355,"nonmatch",15,-4.02087124528233,"nonmatch"
"99","1","2",-8.06804266081645,"nonmatch",15,-3.50390640735261,"nonmatch"
"100","1","2",-9.6706534587624,"nonmatch",15,-4.19991143353911,"nonmatch"
"101","1","2",-11.1339000582973,"nonmatch",15,-4.83539135738082,"nonmatch"
"102","1","2",-10.6044229123537,"nonmatch",15,-4.60544235460363,"nonmatch"
"103","1","2",-10.1636829351045,"nonmatch",15,-4.41403141453013,"nonmatch"
"104","1","2",-9.97919574540727,"nonmatch",15,-4.33390964606278,"nonmatch"
"105","1","2",-11.6056250283952,"nonmatch",15,-5.04025890887032,"nonmatch"
"106","1","2",-10.8168273741163,"nonmatch",15,-4.69768844027876,"nonmatch"
"107","1","2",-4.81995171777336,"nonmatch",15,-2.09327843406907,"nonmatch"
"108","1","2",-10.8708593265884,"nonmatch",15,-4.72115421908386,"nonmatch"
"109","1","2",-9.24560783605187,"nonmatch",15,-4.01531646503879,"nonmatch"
"110","1","2",-3.04765586696225,"nonmatch",15,-1.32358012576178,"nonmatch"
"111","1","2",-10.0840710396521,"nonmatch",15,-4.37945640764127,"nonmatch"
"112","1","2",-7.54455045854137,"nonmatch",15,-3.27655663258516,"nonmatch"
"113","1","2",-8.58677143125897,"nonmatch",15,-3.72918744996026,"nonmatch"
"114","1","2",-11.9261479669635,"nonmatch",15,-5.17946025241392,"nonmatch"
"115","1","2",-6.90782898337232,"nonmatch",15,-3.00003200940995,"nonmatch"
"116","1","2",-10.3134065630039,"nonmatch",15,-4.47905555993736,"nonmatch"
"117","1","2",-9.56476619603093,"nonmatch",15,-4.15392517963099,"nonmatch"
"118","1","2",-7.84250622078739,"nonmatch",15,-3.40595717597989,"nonmatch"
"119","1","2",-9.90137994256244,"nonmatch",15,-4.3001146722824,"nonmatch"
"120","1","2",-9.28965235014718,"nonmatch",15,-4.0344447544685,"nonmatch"
"121","1","2",-7.90763003767396,"nonmatch",15,-3.4342400902942,"nonmatch"
"122","1","2",-4.20998941585308,"nonmatch",15,-1.82837517217609,"nonmatch"
"123","1","2",-8.41816037346728,"nonmatch",15,-3.65596059797346,"nonmatch"
"124","1","2",-8.54717502110228,"nonmatch",15,-3.71199094752603,"nonmatch"
"125","1","2",-9.11860956123447,"nonmatch",15,-3.96016181507436,"nonmatch"
"126","1","2",-9.87955044479165,"nonmatch",15,-4.29063424185783,"nonmatch"
"127","1","2",-4.53027211881057,"nonmatch",15,-1.96747218271958,"nonmatch"
"128","1","2",-8.59731192580917,"nonmatch",15,-3.73376512857994,"nonmatch"
"129","1","2",-7.18726972442581,"nonmatch",15,-3.12139158126843,"nonmatch"
"130","1","2",-10.8168081509136,"nonmatch",15,-4.6976800917479,"nonmatch"
"131","1","2",-4.67215059150087,"nonmatch",15,-2.02908922050984,"nonmatch"
"132","1","2",-10.8946954184069,"nonmatch",15,-4.73150610223075,"nonmatch"
"133","1","2",-10.5270586456572,"nonmatch",15,-4.57184348048086,"nonmatch"
"134","1","2",-8.82292777804386,"nonmatch",15,-3.83174884823537,"nonmatch"
"135","1","2",-9.09709779176079,"nonmatch",15,-3.95081937229597,"nonmatch"
"136","1","2",-8.69191613888859,"nonmatch",15,-3.77485121628513,"nonmatch"
"137","1","2",-10.5690775906231,"nonmatch",15,-4.59009207641494,"nonmatch"
"138","1","2",-9.99006314233988,"nonmatch",15,-4.33862929658327,"nonmatch"
"139","1","2",-11.4303920600982,"nonmatch",15,-4.96415619769137,"nonmatch"
"140","1","2",-9.74142579006197,"nonmatch",15,-4.23064746649394,"nonmatch"
"141","1","2",-10.5891745961407,"nonmatch",15,-4.59882009501401,"nonmatch"
"142","1","2",-4.72314206508649,"nonmatch",15,-2.05123453611219,"nonmatch"
"143","1","2",-10.1647447304662,"nonmatch",15,-4.41449254639664,"nonmatch"
"144","1","2",-11.4606867393378,"nonmatch",15,-4.9773130097162,"nonmatch"
"145","1","2",-11.9077578513192,"nonmatch",15,-5.17147352666804,"nonmatch"
